{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.18818} 医生？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.4038} 总督。我在找斯坦尼斯拉夫·鲁宾。他在哪里工作？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.28778} 所以你在召集医疗力量？真及时。传言也传到你耳朵里了？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.6264} 我没有召集任何人。我找鲁宾有急事。极其紧急。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.25798} 先回答我的问题，再谈你要谈的事。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.30917} 什么？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.21684} 鲁宾要么在他以前的老师伊西多尔家工作，要么在出诊。去找他吧。这种时候我们必须抱成一团。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.21637} 是，我也想找到他。但你为什么这么焦虑？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.14105} 等你去伊西多尔家的时候，检查那栋房子。你会发现某种真菌。或者煤烟……很难描述。如果我没有弄错，一场严重的灾难正临头。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.7829} 什么样的灾难？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.10049} 五年前，失控的沙疫袭击了这座镇子。发生过一次暴发。伊西多尔处理了它，但他的方法……值得怀疑。这种真菌就是沙疫的第一个征兆。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.5633} 什么方法？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.46} 强行隔离整个街区。暴发的温床在粗建地。伊西多尔封锁了那个街区，不许任何人进出。于是瘟疫死去了——和人一起。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.21892} 隔离有什么值得怀疑？如果你说的新暴发被证实，隔离不可避免。
