{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.17613} 不。我的回答是不。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.58254} 可我还什么都没问。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.18037} 我已经知道了：你担心多面体。今早，它开始发出声音。我也能听见。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.53504} 它不只是发声。我相信它还略微倾斜了。这可能很危险。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.11868} 你打算对此作出反应吗？
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.51345} 我需要为此和彼得·斯塔马京谈谈。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.63953} 可你来找的是我。这似乎有点矛盾，你不觉得吗？
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.35910} 你的人封锁了他的房子，不让我进去。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.33856} 这有什么让你惊讶的？彼得·斯塔马京已被列为被告，这意味着他必须受到持续监视。我打算审问他，但不是今天。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.40801} 我想亲自和他谈谈。越快越好。今天。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.11239} 哦，原来是这么回事：你喜欢昨天法庭上审判官的角色。所以你想继续，对吗？亲自审问他？
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.30975} 是，我想。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.32181} 这不可能，学者。你昨天是审判官。今天，你没有这种权力。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.40073} 统治家族任命我为紧急委员会负责人。我已被授予所需的一切权限。
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.35609} 那你该去向统治家族请愿。为什么来找我？
{Dialogs2.Days.Day8.Day8_Q6_PolyhedronRadio.Day8_Q6_Inqusitor_ToPeter.54454} 你的人守着斯塔马京的房子。他们拒绝让我进去，而我与多面体创造者的谈话事关紧迫。
