{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.25996} 待在医院闲逛很奇怪。我一点也不习惯这个。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.32490} 你正在参与，即便不是主动参与。你在帮我制造疫苗。帮这座城再活一天。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.41421} 所以这是真的？我染上了沙疫，因为还病着别的什么，才没注意到？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.49593} 是的。很抱歉。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.17709} 嗯……大概是命里注定。上一次暴发放过了我，可我的时候到了。至少我会在来世和丈夫一起，抱抱我的小男孩。他现在本该五岁，快六岁了……
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.38107} 我为你的失去遗憾。如果上一次瘟疫夺走了你的丈夫和儿子，那你一定明白找到疗法有多重要。你愿意回答几个问题吗？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.50409} 医院运转到第五天，按理说全镇都该知道什么样的病人会被转给我本人。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.13003} 如果你想做点有用的事，请回答我的问题。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.20069} 我会答，可我不太会聊天。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.25194} 你注意到皮肤上的疹子了吗？脸和身上的红点。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.25247} 我什么也没注意到。没空照镜子。工作已经忙不过来，家务也压着。我若是这疹子发痒或疼，肯定会注意到。可它没有，我为什么要管？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.26803} 你手上这是腐烂吗？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.27959} 你说这个？你没见过干活女人的手吗？白天在工厂卖命，晚上又在家里卖命，手就会这样。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.24676} 你的眼睛红了多久？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.4947} 我睡得少，所以才红。没时间赖在床上。以前没有，现在尤其没有。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.46811} 你说“现在尤其没有”是什么意思？生活有什么变化？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.36455} 每个人的生活都在变，医生。因为这该死的瘟疫。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.8030} 你听上去像是指更具体的事。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.49451} 我说了，我不擅长绕舌头。我大概误导你了。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.9539} 你不该对医生保密。如果你有所隐瞒，我可能会给错治疗。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.21364} 你为什么那样扶着头？你头疼吗？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.62992} 疼，医生。可谁不疼？勒紧，睡一觉——没必要大惊小怪。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.9919} 你总提这些家务，可你是寡妇，又独居。为什么还要把自己累成这样？工厂本身已经够糟了。
