{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.63930} 你又来审判我了吗，丹科夫斯基？在大教堂还没审够？
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.9340} 我一天之内经受的审判已经够多了。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.62966} 我还是无法不去想那场审判，想起我背叛克拉拉的那一刻。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.5546} 我是来请求宽恕的。我亏欠了你。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.36192} 你以为我在怨恨你？不必。我们都是人，而人很脆弱，很容易被折断。尤其当折断他的人是审判官时。你没有做错什么，丹科夫斯基——全是我的错。我让自己被折断了。我背叛了克拉拉。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.62049} 你别无选择；克拉拉必须明白这一点。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.19458} 不。她不会原谅我，而且她有权如此。克拉拉是奇迹，是天赐的孩子，而我弃绝了她。拒绝了她。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.46451} 她就在现场，她看见了，也听见了一切。如果这还不足以让她原谅你……那你原本也没有什么可弃绝的。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.5919} 你必须明白：卡捷琳娜和我多年来一直想要一个孩子，却始终徒劳。全镇都在背后议论我们。毕竟卡捷琳娜是女主人，注定要施行奇迹。而我们甚至造不出一个孩子。然后克拉拉出现了，像一线希望。命运怜悯了我们，给了我们一个女儿。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.49409} 你们绝望到收留了遇见的第一个孤儿？
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.10516} 她不是随便哪个孤儿。她正是我们一直祈求的继承人。她敲响我们的门，我们便让她进来。一切都那么……自然。克拉拉是真正的天赐之物。她带走了卡捷琳娜的痛苦。她是命运送到我们身边的。而我弃绝了她，如今卡捷琳娜就在我眼前一天天衰败。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.46254} 带走卡捷琳娜痛苦的不是克拉拉，而是克拉拉从医院偷来给你妻子的 吗啡。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.51497} 克拉拉警告过我们要提防你。她说你没有心，这是你最大的缺陷。她说你感受不到别人的痛苦，也不会共情。她说得对。一如既往。你需要什么，丹科夫斯基？你为什么来？
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.38441} 我不知道。我只是想说，他们待你并不公正。没有你，这座小镇早就被瘟疫吞噬了。我不会忘记这一点。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.24629} 谢谢。现在这些都不重要了。不过——谢谢你。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.46567} 我感激你，萨布罗夫。感谢你为我们所做的一切。
