{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.26220} 医生，你检查完了吗？我现在可以走了吗？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.50603} 绝对不行。什么问题都不问的检查，只能发生在停尸房。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.36667} 上次我已经全告诉你了……不过你这么说的话。你是医生。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.64928} 请允许我叫我的助手进来。我会用你的例子给他示范问诊时该怎么做。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.57998} 你叫我吗，医生？我在这里，准备听命。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.28616} 利特尔，这里有一位病人。她声称自己健康……尽管几天前还发过热。我们该相信她的话吗？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.8434} 利特尔，这里有一位病人。她声称自己健康……尽管几天前还发过热。我们该相信她的话吗？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.4707} 当然。怀疑别人可没法过日子！
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.44199} 记住：病人的自我评估可能不准确。所以你必须问具体问题。关于症状，关于检查时发现的东西，也关于病人的处境和日常生活。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.44162} 我想我明白了。理论上。天知道实践里会怎样……
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.6196} 我来示范。观察并学习，利特尔——我不会永远在你身边。病人在发热；换言之，就是高烧。打开我的账册，查“发热”，告诉我，它被列为多少种病症的症状？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.3936} 等一下……哎呀，九种！
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.25008} 九个诊断都符合。发热是常见症状，这意味着你必须找到其他症状来缩小范围。然后一遍又一遍重复，直到只剩一个判定。利特尔，这就是所谓的鉴别诊断。名字已经说明一切。我们区分相似之物，为问题找出唯一正确的解。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.27791} 太可怕了！
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.9538} 那就开始吧。夫人，你看起来很苍白。你的皮肤从出生起就是这样，还是最近才苍白？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.41761} 我住在锅炉房里，可没那么多机会照镜子。但我觉得自己从没这么白过……那些有钱闲人才苍白。我是平民。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.10576} 所以，苍白对你来说并不寻常……我们把它记为症状。利特尔，把“苍白”和发热一起记进病历。得到什么？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.40081} 抱歉，丹科夫斯基医生。我没法一边看手册，一边跟上你的思路。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.50751} 只剩两种。原来是九种。像魔法一样！
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.1356} 一个症状，苍白，就排除了九个候选里的七个。现在只剩两个选择……夫人，这处血肿是从哪儿来的？我是说你手腕旁边这块淤青。撞到什么了吗？还是有人打你？别担心，看医生没什么好难为情的。
