source_term	cn_term	style_bucket	priority	voice_rule	bucket_notes	wiki_anchor	character_note	source_key
Aglaya Lilich	阿格拉娅	capital_authority	major	冷、硬、程序清楚，像在裁定、分责和宣告边界。	首都审查、法度、调查、裁决相关角色；优先给人“制度压人”的感觉，不写成空官腔。	https://pathologic.fandom.com/wiki/Aglaya_Lilich	不是在商量，而是在给别人最后一次理解规则的机会。	Npcs.Aglaya.Name
Andrey Stamatin	安德烈·斯塔马京	utopian_bohemian	major	聪明、戏剧化、带自我展示欲，也带危险和失衡。	适用于斯塔马京兄弟、马克、伊娃等舞台感或审美感强的人；保留魅力、夸张和失稳边缘。	https://pathologic.fandom.com/wiki/Peter_Stamatin	热、放肆、带酒气和挑衅，像先撞过去再说。	Npcs.AndreyStamatin.Name
Anna Angel	安娜·安琪尔	humble_haunted	major	轻、紧、带裂口和不安，像秘密在句子里漏风。	适用于安娜、卡捷琳娜、阿斯皮蒂等带强烈不安或神秘压力的人；允许停顿和漂移，但不能写乱。	https://pathologic.fandom.com/wiki/Anna_Angel	轻、飘、藏一半真相，像先闻风向再开口。	Npcs.Anna.Name
Odongh	奥东	kin_mystic	major	像仪式、土地和身体隐喻借人开口，允许非人感。	适用于新娘、虫民、白化者等近神秘非人角色；可以有咒语感，但每句意向必须清楚。	https://pathologic.fandom.com/wiki/Herb_Brides	更像仪式和土地借人发声，不写成普通镇民。	Npcs.Odong.Name
Vlad Olgimsky	奥尔金斯基	olgimsky_family	major	稳、重、讲掌控和继承，产业与家产的现实感很强。	适用于奥尔金斯基家族及其直接影响范围；比凯恩家更落地、更占有、更讲安排和控制。	https://pathologic.fandom.com/wiki/Big_Vlad	重、务实、带产业家长的控制欲。	Npcs.Olgimsky.Name
Dash-hound	巴迪	doghead_children	secondary	成群、野、冲，带少年帮派和犬群起哄感。	狗头孩子及其分支别名统一按这一组处理；重点是团伙感、野性和互相起哄的热度。	https://pathologic.fandom.com/wiki/Children		Npcs.HoundheadMessenger.Name
Rook	白嘴鸦	children_liminal	major	轻、怪、安静，像半只脚踩在现实边缘的孩子。	适用于格蕾丝、米什卡、小钉、滴答及其同类别名；保留异感和超龄洞察，不写成甜腻儿童腔。	https://pathologic.fandom.com/wiki/Grace	孩子气里带异感，像从现实边缘探头说话。	Npcs.Grach.Name
Switchman	扳道工	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Signalman.Name
Tragedian	悲剧演员	theatre_mythic	secondary	仪式化、寓言化，但每句仍要让人听懂。	适用于执行者、悲剧演员、死亡化身等舞台或寓言角色；可抬高气氛，但不能只剩谜语。	https://pathologic.fandom.com/wiki/Tragedian		Npcs.Tragedian.Name
Peter Stamatin	彼得·斯塔马京	utopian_bohemian	major	聪明、戏剧化、带自我展示欲，也带危险和失衡。	适用于斯塔马京兄弟、马克、伊娃等舞台感或审美感强的人；保留魅力、夸张和失稳边缘。	https://pathologic.fandom.com/wiki/Peter_Stamatin	天才、自毁、漂亮而危险的夸张。	Npcs.PetrStamatin.Name
