{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.5799} 有什么让您不快，丹科夫斯基。还是我想多了？
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.24163} 这是你的错觉。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.43380} 你知道……我只是讨厌被召见，却连主题都不告诉我。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.49613} 这是关于伊西多尔·布拉赫的档案。请尽快把它们交由审判庭处置。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.43092} 什么档案？我甚至从未听说过。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.19191} 拜托，医生。我们现在几乎算朋友了——何必浪费我的时间？我需要伊西多尔关于第一次爆发的笔记。它们一直由奥尔金斯基保管，而昨天——如果我的消息来源可信——它们被偷走了。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.13749} 你总是这样，医生。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.28128} 丹科夫斯基，你的回答连常识都站不住脚——更不用说审判庭已经掌握的情况了。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.56915} 具体来说，你指什么？
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.3078} 听着。众所周知，已故的伊西多尔·布拉赫——这座小镇曾有过的最好的医生——曾经面对过一场沙疫，并且设法阻止了它。因此可以合理推断，像他这样受过教育、经验丰富的人，一定留下过记录：病人、方法、结果。告诉我，这难道不是合乎逻辑的结论吗？
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.29120} 合乎逻辑。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.37346} 上一次疫情实际上从未扩散出毗邻屠宰场的城区，因此老奥尔金斯基把那些笔记收归自己保管。他一直保存着——直到前天夜里，它们被偷走了。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.40433} 那和我有什么关系？你认为是我偷的？
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.38225} 当然没人指控你盗窃。你为什么要偷？但我尊敬的秘书今天告诉我，在你第三天——刚刚接管指挥权时——你曾要求为个人使用复制一份档案。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.13822} 而且是我亲手抄写了那份档案，并把副本交到你手里，医生。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.54082} 所以原件没了，但多亏了你，丹科夫斯基，我们还有一份副本。交出来。除别的用途外，它会告诉我们这东西对窃贼有什么价值——也告诉我们现在该提防什么意外。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.52344} 你根本没在听，是吗？赫伦弄错了——我从未要求过任何档案。我甚至不知道它们存在。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.35036} 你还指望我相信？第一：处在你的位置上，任何人都会想研究前任的经验。第二：我们的秘书——你的，也是我的——为什么要编造这种故事？丹科夫斯基，我们就当我没听见你这些荒唐的否认。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.56781} 我建议问问他——我的和你的秘书——为什么要说谎。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.40847} 医生，不要逼我指出你的记忆究竟有多么……咳……不完善。你总是混淆事情——尤其是文书。我比任何人都清楚。我亲手把伊西多尔·布拉赫的档案交给了你，交到你本人手里。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.42248} 这是谎言。赫伦，你为什么要诽谤我？
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.4372} 那么，你声称我是在什么时候向你索要档案的？
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.40406} 别装了——想起来吧。你刚刚接管指挥权，第一项要求就是让我弄来第一次爆发的档案。我要说句公道话：那曾让我以为你也许还有些用处。可惜这种错觉消散得太快。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.41892} 胡说。根本没有那回事。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.16468} 审判庭今天就要你交出档案。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.5078} 我会找找。没有秘书之后，文书工作确实彻底乱套了。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.64908} 我需要重构紧急指挥部迁到静水观星台之后，我究竟先做了什么。然后我会想起档案去了哪里。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.21598} 胡说，全是胡说。我最好还是去查查奥尔金斯基家被盗的事。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.10703} 是……我想起一点了。第三天……给我一点时间。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.45262} 所以昨天原件是从块垒被偷走的。真是阴险的把戏……
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.27291} 我已经厌倦了重复：不，我对伊西多尔的笔记一无所知。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.2461} 这令人不安。为什么会有人偷走第一次爆发的记录？
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.35618} 寻找罪犯的事留给审判庭。我有另一个问题要问你。我尊敬的秘书今天告诉我，在你第三天——刚刚接管指挥权时——你曾要求为个人使用复制一份档案。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.14927} 我再说一遍：我对此一无所知。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.57101} 若他的笔记确实存在，看看它们会很有用。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.59740} 伊西多尔·布拉赫只是隔离了感染城区。我不确定除此之外他还做成了什么。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.57619} 在这座小镇，常识是一根不可靠的拐杖。我不会倚着它走。
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.52933} 这场谈话需要赫伦先生在场吗？
{Dialogs2.Days.Day9.Day9_Q18_FirstOutbreakArchives.Day9_Q18_Inquisitor_Archives.34029} 你是在对审判庭表示不敬。如果我的在场不合适，我自然会被安排离席——无需你来评点。
