{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.15579} 把枪放下，医生。反正转轮里没有子弹。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.22393} 为什么我有枪？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.1711} 那不重要。看看车厢里面。别担心，你用不上枪。他们全死了。就连那些试图离开的人也没走多远。瘟疫带走了他们。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.21119} 是我的责任。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.21921} 把这话讲给调查员听吧。真诚认罪也许能减轻你的判罚。但这节车厢不是唯一一节。像这样的还有几十节，也许几百节。去吧，看看里面。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.16586} 是我的责任吗？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.22242} 好问题。试着在明天之前找到答案。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.9380} 明天是什么？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.9426} 是你在首都为这些车厢受审的日子。因为这节车厢并不是唯一一节。像这样的还有几十节，也许几百节。去吧，看看里面。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.24765} 向谁交代？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.7839} 调查员会有一大堆问题问你。其中最重要的是：谁该负责？谁该为这节车厢里的东西负责。但这节车厢不是唯一一节。像这样的还有几十节，也许几百节。去吧，看看里面。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.19040} 不。我不想。我不会看里面。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.27393} 这一切是为了什么？你想吓唬我？我是医生。尸体吓不倒我。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.10799} 这不是我的责任。我已经尽力了。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.11878} 把这话讲给调查员听吧。我相信你在首都会受到热烈欢迎。这节车厢不是唯一一节。像这样的还有几十节，也许几百节。去吧，看看里面。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.18953} 我们在这里做什么？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Bird_YouAreGuilty.31693} 看看车厢里面。别担心，你用不上枪。他们全死了。就连那些试图离开的人也没走多远。瘟疫带走了他们。
