{UI.Menu.Settings.GraphicsHint.Null} 无
{UI.Menu.Settings.GraphicsHint.ResolutionScale} 控制渲染分辨率。降低此参数可能提高性能。建议在较低值下使用时序抗锯齿上采样抗锯齿。
{UI.Menu.Settings.GraphicsHint.Antialiasing} 平滑画面并消除锯齿。时序抗锯齿上采样在画质和性能之间提供最佳平衡，并加速某些效果的渲染。
{UI.Menu.Settings.GraphicsHint.Upscaling} 控制高级帧重建和抗锯齿技术的使用。
{UI.Menu.Settings.GraphicsHint.UpscalingQuality} 控制内部渲染分辨率。调低分辨率预设可提升运行性能，但会降低画面清晰度。
{UI.Menu.Settings.GraphicsHint.UpscalingSharpening} 控制在开启图像放大时的锐化程度。调高参数可减轻模糊效果，但可能导致伪影更为明显。
{UI.Menu.Settings.GraphicsHint.TextureStreamingBudget} 控制分配给纹理材质的显存容量。提高该参数可减少材质接缝与模糊现象，但若显存耗尽将导致性能显著下降。
{UI.Menu.Settings.GraphicsHint.AnisoFiltering} 消除在斜角查看纹理时的模糊。对于大多数现代显卡来说，这是一种相对较轻的效果。
{UI.Menu.Settings.GraphicsHint.DrawDistance} 控制某些物体可见的距离。更高的质量可能会降低处理器和显卡性能。
{UI.Menu.Settings.GraphicsHint.ShadowResolution} 控制阴影分辨率。更高质量可以减少模糊并提高清晰度，但会占用更多显存并降低显卡性能。
{UI.Menu.Settings.GraphicsHint.ShadowFilteringType} 控制阴影过滤算法。阴影技术通过在投射表面与接收表面距离较远时增加模糊度，使阴影更加真实。
{UI.Menu.Settings.GraphicsHint.PCSSQuality} 控制软阴影算法的步骤数量。更高的质量可能会降低显卡性能。
{UI.Menu.Settings.GraphicsHint.ContactShadowsQuality} 为小物体添加微妙的尖锐阴影。
{UI.Menu.Settings.GraphicsHint.SSAOQuality} 为场景添加环境阴影，减少缝隙和狭窄区域的光照。
{UI.Menu.Settings.GraphicsHint.VolumetricLightingQuality} 添加体积光散射和雾效。更高的质量可以提高效果的分辨率，但会降低显卡性能。
{UI.Menu.Settings.GraphicsHint.SSRQuality} 为场景添加屏幕空间反射效果，提升表面视觉表现。更高质量可以提高效果精度，但会降低显卡性能。
{UI.Menu.Settings.GraphicsHint.SSSQuality} 模拟某些材料中的复杂光散射。更高的质量增加散射步骤的数量，从而提高效果质量。
{UI.Menu.Settings.GraphicsHint.MotionBlurQuality} 为快速的相机和物体运动添加轻微模糊，提升图像流畅度。
{UI.Menu.Settings.GraphicsHint.MotionBlurIntensity} 控制运动模糊效果的强度。在低帧率下玩游戏时，建议降低此设置。
