{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.56568} 日安，丹科夫斯基医生。希望我不会占用您太多时间。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.8537} 日安。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.50761} 你不必那么费劲地绷住表情。我明白你的惊讶。不过有时就连受过正规教育的城里姑娘，也会抛下一切，去为Boddho（大地母亲）起舞。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.1891} 那么，你并不是草原民？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.52721} 按家族传说，我祖父是亲族之人。但我几乎不记得他了。只记得小时候，他会给我编些用twyre（特维草）和 swevery 做的小手环。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.30843} 所以这就是你走进草原的原因？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.1900} 哦，我的理由说出来你一定会笑：首都大学入学考试失败。再加上一场失败的恋爱。我伤透了心，觉得世上再没有我的位置。\n\n就连回到故乡这座城里，我也只是个败者。我还能做什么？当个女教师？做个文书？不了，多谢。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.53236} 真希望那些刷掉你的教授会在梦里梦见你。算是惩罚。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.24603} 我并不记恨。我最终还是找到了自己的位置。草原欢迎所有人。\n\n我很难解释——这门语言里没有合适的词。亲族是一体的。没有个体性。自我会溶解，所有疑虑与恐惧也会一并溶解。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.52965} 听上去，在我看来，既可疑又可怕。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.53946} 我并不是在劝你也走我的路、放弃你的个性。是你表示好奇，我不过是满足了你的好奇心。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.55124} 的确。不过我们还是先谈眼前的事。你跟我的助手说你有头痛？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.52642} 这我可理解不了。要是我哪天想“溶解”，我会自己来。以一个个体的方式。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.13594} 我见过亲族。我可不觉得他们没有个性。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.15861} 对此我可以回答你：溶解不是一个单一事件，而是一个方向。或者，我也可以吓唬你：也许你见到的那些人离城太近了，可如果你再往草原深处走，情况就不一样了……你更喜欢哪个回答？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.36269} 你现在说话倒和那些草原新娘一样玄乎了。只不过你说的是我的语言。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.36555} 你真的喜欢那样生活吗？那样平淡、甚至粗粝的存在，对你来说就够了吗？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.65301} 我最终还是找到了自己的位置。草原欢迎所有人。\n\n我很难解释——这门语言里没有合适的词。亲族是一体的。没有个体性。自我会溶解，所有疑虑与恐惧也会一并溶解。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.57536} 我能问一句，为什么吗？这种事我听说过，但还从没见过活生生的例子。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.39709} 很好，我倒是松了口气，至少你会说我的语言，不用我从你嘴里硬把症状拽出来。那我们开始吧？把你的不适说一说。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.27951} 头痛，记忆模糊，畏光……而且我觉得自己在出现幻觉。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.23421} 能具体说说吗？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.32136} 颜色……全不对了。在我眼里，我的手是蓝的。我从小看到大的城里房屋立面，现在全都漆黑一片，上头还覆盖着奇怪的金色文字。你的外套，在我看来是血红色的。它真正是什么颜色？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.5511} 黑色和灰色。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.28027} 这不对劲……如果连自己的眼睛都不能信，那明天又会有什么背叛我？太危险了。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.44637} 我明白。发疯的前景也同样让我害怕。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.31303} 我得检查你。请到屏风后面，把衣服脱掉。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.49070} 让我取点样本。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.20590} 一件血红色、白里衬的斗篷……原谅我。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.48504} 你不把这看作Boddho（大地母亲）赐下的礼物吗？藏在光谱里的预言？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.36272} 会不会是联觉？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.21541} 说实话，在这个病房里，你是我最想不到会发疯的那个人。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.3876} 以你这身打扮，我本以为会从你嘴里听到“erdem（学者）”或者“teneg”。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.43244} 而你经常听到<i>teneg</i>吗？哎呀！谁敢说一位体面的医生是蠢货呢？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.57738} 啊。原来<i>那</i>个词是这个意思。总算有人肯大发慈悲，替我翻译了。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.4480} 早些年他们也会取笑我，说我舌头笨。明明我是在城里长大的，受过正经教育，却偏偏选择走进草原，去为Boddho（大地母亲）起舞。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.2359} 我已经习惯于在亲族眼里显得古怪了。正如他们在我眼里一样。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_Interview.41666} 亲族比你想的更懂我们。有时甚至比我们自己还懂。我是有经验才这么说的。我是在城里长大的，受过正经教育，却偏偏选择走进草原，去为Boddho（大地母亲）起舞。
