{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.10144} 休息过一点了吗？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.29842} 什么……我睡着了？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.17786} 我身后那是谁？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.17497} 别管那个。那是给对质审讯准备的。不过现在还太早。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.1772} 啊，所以这<i>果然</i>还是审讯？你之前可是坚持说，我们只是在聊天。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.16684} 看来你确实累了，医生。可以理解，我们已经谈了太久……而且连一半都还没到。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.9921} 我明白了，这真是种煞费苦心的处决方式。我读过类似的。实际上，我们已经谈了快八个小时。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.3763} 你为什么开始对草原人做尸检？你至少知道原住民族群的人口状况有多脆弱吧？照目前这速度下去，就连保存他们语言的希望都很渺茫。我们这边也缺少能参与这项工作的人。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.23079} 你嘴里的“我们”是指谁？善良民众工会？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.23955} 草原人对这种疾病免疫。这是我研究的一部分。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.28593} 这也是你那个毁掉全城的鲁莽计划的一部分——这里就是这么写的。引述审判官报告：“一种以自毁方式吸引人们注意实验室被撤销这一事实的尝试……”\n\n你是真打算把整座城拖进你的葬火里，就为了让死亡学院的毁灭不至于被忽视吗？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.4816} 够了。在没有相关领域专家在场的情况下，我拒绝继续这场讯问。这里可是医学院，找几个合适的人并不难。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.6788} 能给我点水吗？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.4143} 请便。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.29997} 好吧，你不是学医的——没关系。但你会看统计数据。你知道疫情消灭人口的速度有多快吗？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.30308} 好吧，你不是学医的——没关系。但你看得到统计数据。你知道疫情消灭人口的速度有多快吗？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.23693} 我大概能猜到一些。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.17782} 你对病程发展有概念吗？对它推进的速度有概念吗？！从感染发作到死亡，最短只要五到八小时。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.22288} 你这是想把话题带偏，是吗？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.16235} 好吧。我没那么人道主义。我当时是想把这座城像实验试管一样保存下来，你明白吗？为了阻止它继续扩散到整个国家！为了争取一点时间！这种东西不是一周、两周、一个月就能研究透的！甚至一年也未必够！你——你——明白我当时到底在做什么吗？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.1504} 我斗胆猜想，和你现在在这里做的事差不多。就在这几堵墙里。给你的虚荣心挠痒痒。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.18916} 为你的博士论文搜集材料？这当然可以理解。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.15895} 在这里觉得委屈可不合适，你最好还是乖乖受着。现在说说看，从你的角度看，那一切究竟是什么样子。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.12852} 恕我愚钝，我有种感觉：你当时是不是想赶紧在那里捞点统计数据，好把数字做出来？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.22957} 是。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.31782} 医生，请喝点水吧。别生气。你逃不开你自己……
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.23941} 再想想，我还是不了。谁知道你在里头加了什么。先让我解释。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.31802} 按你刚才用的那个量表来看，至少这件事总归还是有个头的。这倒不错。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.26208} 那是个审判官吧？审判官在这儿干什么？
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.18906} 我一直不能理解，人们为什么那么怕审判官。你们所有人都这样，从知识分子到粗工杂役……他们当然是出色的分析者，但也仅此而已……不过，请别被她的衣着吓到：我可以向你保证，这不是一位审判官。至少现在不是，很可能以后也不会是。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.13703} 背后有个审判官拿眼神戳着我，我没法说话。
{ArchiveDialogs.Day5.Day5_Q0_Interrogation.Day5_Q0_Interrogation.18978} “向你保证”，是吗？哎呀，你这人倒挺会说笑。
