{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.12197} 我问你多大！你站在那儿眨什么眼，木头脑袋？你在这片土地上走了多少年？回答我！
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.9144} 三十。二。三十三。
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.64496} 所以到底是三十，二，还是三十三？你连自己几岁都不知道？会数数吗？还是我们把你劈开，数年轮，嗯？
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.8724} 你们队里只收数学家吗？他多大年纪有什么关系？
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.24828} 我宁愿要数学家，也不要这些废物。他们全都糟透了！看，一整队木头脑袋，一个个蠢得像树桩。连拿去烧火都不配！
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.33140} 看来巡逻员招募开展得如火如荼，是吗？
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.29937} 呃，也不能这么说……这些人全都糟透了！看，一整队木头脑袋，一个个蠢得像树桩。连拿去烧火都不配！
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.168} 你觉得这是为什么？给人一点点权力，他立刻就变成狗娘养的。
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.11286} 你骂谁狗娘养的，嗯？我为了你坐在这儿，屁股都坐麻了，学者！你看过这些志愿者吗？全都糟透了！看，一整队木头脑袋，一个个蠢得像树桩。连拿去烧火都不配！
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.64904} 他们是来帮忙的。这才重要。
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.44004} 他们是来吃饭的，不是来帮忙的。要不要打赌？这些所谓“新兵”大多吃上第一顿饭就会散掉。记住我的话！我们是什么，济贫院吗？
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.44053} 你不是来打赌的，你是来登记姓名的。所以做你的事。
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.43971} 你看着像个成年人，却似乎不知道激怒饥饿的人极其危险。
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.55405} 我也跟你打个赌：今晚，这些“树桩”里会有一个埋伏在你家门外，让你为自己说过、做过的一切付账。
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.31922} 这些候选人确实没什么可称道的。
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.6855} 我隔着一里地都能闻出混饭吃的。要不要打赌？这些所谓“新兵”大多吃上第一顿饭就会散掉。记住我的话！我们是什么，济贫院吗？
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.58906} 就算如此，也没必要无礼。你不怕被人一拳打在脸上吗？
{Dialogs2.Decrees.MobilisingVigilantes.MobilisingVigilantes_VigilanteAndVolunteer.37687} 打脸？就他们？他们饿得连手都抬不起来。要不要打赌？这些所谓“新兵”大多吃上第一顿饭就会散掉。记住我的话！我们是什么，济贫院吗？
