{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.29976} 出什么事了，Oynon（异乡人）？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.7558} 所以你觉得我一来，就一定是出了什么事？我就不能只是没什么特别原因地来看看你？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.18885} 是。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.9617} 你这种简短有时真让我困惑，布拉赫。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.43102} 在草原上，话语像石头。不能白白乱扔。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.26464} 好吧，那就省点话。你能替我看看一份血样吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.54950} 所以我在你眼里就是这种名声，嗯？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.20109} 你从不无缘无故做事，Oynon（异乡人）。你说话有目的，去哪里也有目的，不只是为了看风景。你甚至可能连睡觉都有目的。这就是你的问题，也正因为如此，你才成了现在这样。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.45328} 身处灾难中心，我还能成为什么，布拉赫？四周都在坍塌，我却该把时间花在闲聊和散步上？你认真的？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.61747} 只有你自己选择你会成为什么。还是说，你是别人拿在手里玩的布娃娃？总之。你选择来这里，自然有原因。那原因是什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.40257} 我希望自己能是另一个人。但我做不到。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.30219} 好吧，我就不辜负你的期待，带着目的开口：我需要帮忙。关于一份血样。
