{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.9951} 西蒙·凯恩！有人告诉我你会等我——但我以为会是在炉宅。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.43347} 最尊贵的医生！我们一直怀着极大的急切等待您的到来。您无须向我们细述来意，因为我家族对您的学术事业十分熟悉。我们也很清楚您正面临的困境，并已准备尽己所能支持您。\n\n因此，由我告知您此事，才更令我痛心：西蒙，我的血亲兄弟，这环绕我们的一切的创造者、守护者与化身，已遭谋杀。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.57253} 该死！为什么偏偏在我抵达前发生？就在我终于找到取胜机会的时候……
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.9115} 正是如此。为什么偏偏在您抵达前发生？您也在问自己同一个问题吗？
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.3829} ……亲爱的学者，您答应过，不会让我听您与镇民相识的细枝末节。西蒙——以及他让小镇感染瘟疫的计划——这才是我们关心的事！
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.36678} 可是玛丽亚说她看见我和西蒙在多面体附近——
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.10816} 正是。您是在暗示，侄女会把自己的两个叔叔认错——认错那两个从她出生起就抚养她的男人？尽管有记录说格奥尔基酷似西蒙，二人几乎像双胞胎。可那又怎么可能……\n\n显然，玛丽亚·凯恩娜不可能错到这种地步。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.9456} 西蒙就在近旁。看。听。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.46110} 我需要检查你兄弟的遗体。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.35485} 检查遗体对您没有任何帮助。这个谜题必须在您的心智之中解开。\n\n我不能，也不被允许告诉您更多。请相信我，我并不是想向您隐瞒任何证据。遗体存放在冰窖里，完好无损。但焦点不可被侵入。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.7858} 你在说谎，格奥尔基。遗体已经被带走了。
