{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.39590} ……并封锁整个区域。我们最不希望的，就是消息传出去……
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.27119} 我们的人会办，军官。办妥，悄悄办。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.25884} 这里发生了什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.49309} 什么也没发生。走你的路，这里没什么可看。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.52515} 我是在试图帮忙。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.35979} 这里有一个死士兵，躺在血泊里。你们是在试图掩盖谋杀吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.32525} 请把声音放低。也不要把你看见的告诉任何人。这是极其微妙的事——我们正在想办法避免一场灾祸。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.46471} 你在说什么？看这摊血，灾祸已经发生了。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.34812} 你明白流言能有多致命吗？想想看：军队到来的第一天，城里就有士兵被杀。如果消息传出去……所有人本来就绷着，我们不需要街上打起来。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.22646} 没人想惹麻烦，懂吗？要是他们知道士兵那个，你知道，就会到处问，嚼舌头，散流言，然后就会私刑——不用扶乩板也能看出来……
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.50433} 所以你们建议掩盖一起谋杀？你们是认真的？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.52715} 谁说谋杀？你凭什么觉得是谋杀？他躺在塔下面——那就是从那里摔下来的，清楚吗？官方说法就是这样，到此为止。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.28990} 我请求你理智些。若士兵们知道同袍死了，会爆发骚乱。你没听说过兰斯科伊团的案子吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.45759} 没有。兰斯科伊团案是什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.14946} 几年前，在北方。军队进驻一座镇子，一个士兵在酒馆里和本地人起了冲突，被刀捅了。然后他的同袍拿起武器出去算账。结果八死三伤，还上了军事法庭。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.20149} 我们这里不需要屠杀。我告诉你，那不是我们的人！本地人去袭击士兵——我们从来不会，我们这里没那么蠢！军队来了，我们高兴，有人维持秩序。不是我们的人，不是。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.5276} 军官，你认识这个士兵吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.22010} 他叫卡什金。老实说，我不敢相信……他几乎还是个孩子，入团还不到一个月。他们以前拿他开玩笑。说这算什么士兵，心肠软，神经都快磨没了。
