{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.37436} 那么，丹科夫斯基医生？你能治愈我的精神疾病吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.49273} 你如此推崇的科学方法，要求我先问你几个问题。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.61561} 当然。进行研究、验证假设……你知道吗，有时让我痛苦的是，我的科学兴趣对象不会说话。我很想有机会采访一株龟背竹。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.11180} 你最近是否感到异常疲乏？你看起来很憔悴。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.32525} 我是被噩梦榨干了，丹科夫斯基医生！那可怕的幻觉让我的整个存在都失去意义……万一它成真，而我真的一事无成怎么办？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.39340} 艾米莉亚，你知道自己已被诊断为沙疫。这几乎等同死刑。很遗憾。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.39330} 沙疫……哦，是的，护理员好像提过。但他们只是护理员，可能错了。况且……你在寻找疗法。这所医院就是为这个目的建立的，对吧？你会完成你的突破，丹科夫斯基医生！也给我机会完成我的。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.11684} 很好，就这么约定。你相信我，我相信你。我们可以继续问诊了吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.35785} 是。是，当然。这是我的机会，也是你的。你一定想成为那个战胜不治之症的人吧？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.10698} 我不作承诺。我们正在尽一切努力——我和医院工作人员。也就是你如此轻蔑对待的那些人。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.22797} 所以等你找到疗法时，你会邀请所有护理员一起接受荣誉，是吗？别回答。回到你的问题吧。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.28065} 你的名字不会湮没无闻，艾米莉亚。不会，以你对科学的热情。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.36953} 谢谢你，丹科夫斯基医生。我需要听到这句话。我知道我听起来也许自我，但那只是因为我给自己定的标尺太高。我只是害怕够不到。你想问我的症状，对吗？问吧。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.40568} 我感觉你更关心名声和赞誉，而不是追求科学。以我的经验，这类研究者很少能做出什么有分量的成果。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.39621} 你这么说，只是因为你自己没做出任何值得一提的事。你不过是在嫉妒我的前途。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.42111} 你手上有抓痕。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.29959} 当然有。我一直在和植物打交道。剪芽，换盆。汁液总会沾到手上，皮肤会受刺激。你肯定也接触有毒物质，你懂那种情况。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.33548} 你的眼睛也受刺激了吗？你眨眼太频繁。我觉得你在避光……
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.1489} 哦，那是从我的考察开始的。我刚从南方回来。我冒险去那边取样。那里的植物群令人着迷，不像这片贫瘠的草原。但太阳毫不留情……我认为是阳光损伤了我的眼睛。职业风险！
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.1029} 告诉我，你最近体重下降了吗？你瘦得危险。我还不至于说你病态消瘦，但……
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.43136} 拜托。如果我在意脱下衣服后是否难看，就不会把一生献给科学探索。你可知道野外考察的条件能有多严酷？尤其是为了特别罕见的标本深入荒野时？我瘦下来并不奇怪。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.51714} 等一下，我哪里弄错了……我勾出了太多症状，现在它们反而遮住了诊断。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.60006} 你的病例比我预想的更复杂。临床图像仍然不连贯。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.49559} 也许根本谈不上什么临床图像？我唯一的不适就是那可怕的幻觉。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.51148} 幻觉不会无缘无故出现。我会尽力找到原因。这需要去你住的地方看看。把它当成一次科学野外考察吧。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.32179} 艾米莉亚，你得了沙疫。可你还在呼吸，神志清醒，也没有痛苦得发狂……这说明另一种病症正在抑制疾病在你体内扩散。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.7440} 沙疫……哦，是的，护理员好像提过。但他们只是护理员，可能错了。况且……你在寻找疗法。这所医院就是为这个目的建立的，对吧？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.15699} 这正是我在努力做的事。但我必须识别出第二诊断。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.3691} 也许根本谈不上什么临床图像？我唯一的不适就是那可怕的幻觉……哦对，我被诊断为瘟疫，还有另一种病抑制它扩散。但这种病不能是精神性质的吗？
