{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.11389} 诊断进展如何，丹科夫斯基医生？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.2867} 恐怕情况彼此矛盾。让我再问你点事……
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.16065} 请吧。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.10711} 你的静脉发黑了。手和腿上都是。范围很大，是坏死。你第一次注意到这种发黑是什么时候？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.21374} 我倒说不上来……所以，它们变黑了？嗯，正如我说过的，我的眼睛出了点问题。我看颜色会失真。这种情况已经持续六天了。我的静脉应该就是在这期间发生变化的。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.64624} 你的背上有皮疹。黑色的。小脓疱。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.44108} 那只是卫生条件差而已。疫情爆发以来，就再也没有流动水可用了。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.59561} 你的眼睛发红。它们会让你不舒服吗？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.45805} 很难说……你要怎么把疾病和悲伤区分开来呢？周围到处都是痛苦。\n\n当然，我把眼睛都哭肿了。为了家人，也为了自己被迫离开草原而哭。但谁知道呢，也可能是症状……
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.11380} 我必须问问你最近都做了些什么。请原谅我的探问。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.2650} 爆发前不久，我哥哥传来消息。叫我回城参加父亲的葬礼。我从很远的地方来，从草原最深处回来。之后我又留了一阵，陪伴家人，给他们一点慰藉。然后……我们就被封锁了。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.33407} 所以从疫情一开始，你就一直待在城里？之后再没踏进过草原？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.24605} 没错。习惯了草原天空下的自由，再被困在四面墙里，简直是折磨……幸好，我家的地下室多年没人打理，我在那里发现了twyre（特维草）。它颜色发白，长得孱弱，可我还是高兴极了。我一有机会就往下去。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.35785} 恕我问一句，是出于感情，还是出于实际用途？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.28031} 为了沟通。通过那一小片苍白的twyre（特维草），我能和草原说话。为它起舞。你可以把这当成一种祈祷。后来，为了徒劳地救我的家人，我不得不把它采下来。我煎成药汤，剁碎做敷剂。我不是医者，但学过一些草原疗法。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.56108} 这些药汤你自己也喝了吗？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.22458} 喝了。但我不觉得这就是我还能喘气的原因。它们没能救下我的家人。也许是我配错了——我习惯为twyre（特维草）起舞，不习惯拿它们来熬煮。也可能是那片twyre（特维草）太弱了。毕竟，它生在地下室昏暗的光里。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.27299} 谢谢你提供这些细节，也许会有帮助。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.37018} 这倒有意思……所以可能是原料处理不当……或者种植条件的问题，如果用“种植”这个词来形容野草不算太奇怪的话。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.37491} 你的家人呢？后来怎么样了？
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.45790} 都被沙疫烧死了。一个接一个。我守在他们身边，想帮他们——甚至采下了那片苍白的twyre（特维草）。我煎成药汤，剁碎做敷剂。我不是医者，但学过一些草原疗法。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.58097} 我很遗憾。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.5553} 幸好，我家的地下室多年没人打理，我在那里发现了些twyre（特维草）。它颜色发白，长得孱弱，可我还是高兴极了。我一有机会就往下去。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.50218} 恐怕是我走神了，把太多症状都当成了相关症状。给我一点时间。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.10208} 我得给你做检查。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.8742} 希望检验能给我们一个清楚的结果。
{Dialogs2.Hospital.Day5.Hospital_SakhMen.Hospital_SakhMen_NewQuestions.17971} 你介意再等一会儿吗？
