{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.31141} ……我们继续？让我们看看你悲剧奥德赛的第四天。那一天尤其充满可疑行径。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.16571} “可疑行为”？不妨直说：罪行。“恶意失职”、“蓄意破坏”……或者你们这行里随便叫什么。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.22587} 你目前被归类为证人。所以是我在同你谈，而不是我的同僚。地点还在你自己的设施里。你没有被捕。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.26232} 可你说话的口气，就像一万五千人的死都是我的错。还是一万六千？我们已经连续谈了五个小时，我记不清了。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.19694} 我不能说自己在这里感受过自由。请继续，趁我还具备客观回顾的能力。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.5075} 到底有什么东西坏了，而它原本不是坏的？
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.22011} 事实如下：你恰好是这座一万八千人的小镇上唯一称职的医生，面对一场前所未有的致命疫情。是否属实？
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.13275} 这个问题我们已经来回说了十几遍——为什么你还要反复问同一件事？这是你的审讯技巧吗？
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.18441} 又抢先了，尊敬的学者。请冷静。我只是在梳理事件链条。我这颗平庸的脑袋，实在追不上你那炽热奔腾的思路。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.18182} 别演了。谦逊不适合你。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.4190} 需要冷静的是你。而我，已经没有什么可失去了。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.22961} 更重要的是，我不认为这是巧合。我们谈过这件事……是昨天吗？我想现在已经过午夜了。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.2275} 你接管了应急指挥部的执行权，并且事实上负责多项行政、研究和专项事务。是否属实？
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.9883} “危难之中，必须作出危险的选择。”塞涅卡……大概吧。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.14821} 累了吗？那我们简短些。这里是你的案卷。第一，你试图搭乘走私者的列车逃离小镇，结果进了牢房——直到第五天才出来。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.54743} 胡说。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.53113} 别打断。第二，你尖刻地拒绝招募有动机的志愿者，组建护理员队伍。第三，尽管手头具备一切手段，你却蓄意停止了一种有前景疫苗的研发。此外……
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.44909} 如果这些有半句属实，我现在就不会坐在这里。我已经死了。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.5522} 让我看看装着我报告的文件夹。里面不可能全是这种蠢话。你只是在激怒我。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.31405} ……此外，据证人证言，学者丹科夫斯基曾被人看见在墓园掘坟。随后，他又与阿尔乔姆·布拉赫合谋，将一名感染者带出隔离区。显然，你也没有闲着。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.18989} 你漏了我在市政厅埋炸药、还咬掉本地所有蝙蝠脑袋那一段。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.22279} 你以为拼出这样一桩案子很容易？请说重点。按你那些戈尔孔河对岸的朋友说法：“鹌鹑若要成鹰，就不能再畏缩。”
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.28139} 那边没人这么说……不过谁在乎呢？
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.21149} 我从来没听懂过这句谚语。
