{ArchiveDialogs.Day6.Q2_MatveyDead.1} 坏消息，学士。
{ArchiveDialogs.Day6.Q2_MatveyDead.2} 马特维。
{ArchiveDialogs.Day6.Q2_MatveyDead.3} 完全正确。今天你没有派其他人来。
{ArchiveDialogs.Day6.Q2_MatveyDead.4} 他是怎么死的？
{ArchiveDialogs.Day6.Q2_MatveyDead.12} 他被暴民打死了。想必是惹恼了谁。
{ArchiveDialogs.Day6.Q2_MatveyDead.13} 你找到罪魁祸首了吗？
{ArchiveDialogs.Day6.Q2_MatveyDead.15} 处理掉？
{ArchiveDialogs.Day6.Q2_MatveyDead.17} 做好安排。
{ArchiveDialogs.Day6.Q2_MatveyDead.18} 不需要。
{ArchiveDialogs.Day6.Q2_MatveyDead.16} 这件事必须立即完成！现在在田野里寻找风…
{ArchiveDialogs.Day6.Q2_MatveyDead.14} 清除。
{ArchiveDialogs.Day6.Q2_MatveyDead.5} 所以没有人想要...该死！
{ArchiveDialogs.Day6.Q2_MatveyDead.6} 我必须自己去。
{ArchiveDialogs.Day6.Q2_MatveyDead.7} 没有什么。损失不大。
{ArchiveDialogs.Day6.Q2_MatveyDead.8} 他为什么不让你高兴？
{ArchiveDialogs.Day6.Q2_MatveyDead.9} 不可靠。曾是。
{ArchiveDialogs.Day6.Q2_MatveyDead.10} 内乌扬。
{ArchiveDialogs.Day6.Q2_MatveyDead.11} 只是效果不太好。有这样的人——无论他们做什么，一切都不在他们的掌控之中。
{ArchiveDialogs.Day6.Q2_MatveyDead.19} 你没必要这样称呼我。现在我们还剩下多少人？
{ArchiveDialogs.Day6.Q2_MatveyDead.20} 我不知道。掌握你的清单。它每小时更新一次。
{ArchiveDialogs.Day6.Q2_MatveyDead.21} 我们还没有准备好这张桌子。
{ArchiveDialogs.Day6.Q2_MatveyDead.22} 我自己也记得。不超过五个。
