{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.22423} 高兴了？查到心满意足了？把证明给我，我们就了结。我已经烦透了。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.45526} 好吧，就这么办。文件在这里。卡什金列兵死于高处坠落。盖章，由医学学士丹尼尔·丹科夫斯基签字。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.23056} 我有坏消息。恐怕卡什金终究是被谋杀的。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.35112} 该死！你在耍我吗，医生？你刚才还说他是摔下来的。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.9499} 证明上会写他是摔死的。我同意这是最好的办法。我只是想让你知道，卡什金是背后中枪。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.25430} 卡什金是被谋杀的。我们不能把这事扫到地毯下面。所有人都该知道。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.2075} 去你的！你以为这很好玩吗？你以为我们会让你在这座城里挑起骚乱？你要是不明白，我就给你上一课，正义医生！我会连你的正义胳膊一起，把你的正义心肠拔出来！
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.18999} 住手！你以为自己在做什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.6834} 我警告你，我有武器。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.38311} 我理解你的担忧。但凶手仍在外面。下一个受害者可能是任何人！我们应该展开调查。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.61886} 该死的！你帮他一把，他就抽你一脚！你大概以为我们喜欢这一整摊闹剧？你有什么建议？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.37618} 我认为丹科夫斯基医生是对的。是，局势很危险，但……我们应该谨慎。我们并不是要掩盖这件事。我们是在争取最好的结果。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.26621} 我也是这么想。给我一些时间。我会再和孩子们谈。毕竟他们是……目击者。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.47128} 随你们去吧。我厌透了你们的怯懦。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.51362} 我听说布洛克将军已经开始调查这起死亡。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.22314} 该死！布洛克本人？谁向他告密了？现在会怎么样？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.1844} 会怎么样？把虚假死因写进死亡证明才是不理智的。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.61687} 你说得对。我原本想不惜一切代价避免军方调查，但既然事情已经这样……在明令禁止之前，我会协助你，丹科夫斯基医生。前提是你允许我把你的发现转交给我的上级军官。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.18073} 请便。这符合我的利益。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.64203} 我会再和孩子们谈。毕竟他们是……目击者。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_Bullet.65239} 你提供给军方调查的信息越多越好。我可以帮忙。
