risk_id	source_text	draft_cn	risk_type	reason	recommended_handling	status	owner
demo_notifications_intro_notification_intro_tanatika_description	[key] Notifications.Intro.Notification_Intro_Tanatika.Description	学者赌上一切，离开首都，奔赴世界的边缘	opening_register	开场导语兼具叙事摘要和气氛铺垫，语气要庄重，但不能写成宣传腔。	保留“赌上一切/世界的边缘”这种推进感；优先稳重、简短、有引力。	demo_seeded	codex_seed
demo_clouds2_days_intro_intro_cloud_tanatknockingdoor_16657	[key] Clouds2.Days.Intro.Intro_Cloud_TanatKnockingDoor.16657	只想把别人的脸踩进泥巴里	violent_fragment	漂浮字是碎片化怒语，节奏比语法完整更重要。	优先保留打击感和脏污意象；避免修成完整书面句。	demo_seeded	codex_seed
demo_clouds2_days_intro_intro_cloud_tanatknockingdoor_4205	[key] Clouds2.Days.Intro.Intro_Cloud_TanatKnockingDoor.4205	清算令还没到，他们没这个权利！	authority_register	涉及“清算令/权利”这类权力语言，既要像群众喊话，又要维持世界观正式度。	保留命令与抗议的对撞感；不要把行政口吻写得太现代。	demo_seeded	codex_seed
demo_ui_mindwindow_mindtooltip_description	\tThe past can be altered, and with it, the future is rewritten. While there is still time, you can repeatedly rewind the days and undo your decisions. To do this, hover over the final node of the chain and right-click on it (RMB). You can distinguish the final nodes by the corners at the edges.	\t过去可以改变，而过去一旦改变，未来也会重写。只要还有时间，你就可以反复重来，撤销做出的选择。将鼠标悬停在长链的最后一个节点上，单击鼠标右键，即可撤销。看节点的边角可以看出来哪个是最后一个节点。	tutorial_longform	文本长、信息密集，还带操作步骤；最容易出现术语漂移和句子过重。	先保证操作说明清晰，再处理语气；节点、回溯、未来重写等术语要固定。	demo_seeded	codex_seed
demo_ui_mindwindow_resetplace_resetquest	<Key> Alter the course of events	改变事件的进程	mechanic_pair	与 RevertQuest 构成一组系统动作，两个动词必须成对区分。	先锁定“改变事件进程/重置进度”这一组，再向全项目复用。	demo_seeded	codex_seed
demo_ui_mindwindow_resetplace_revertquest	<Key> Reset progress	重置进度	mechanic_pair	与 ResetQuest 并列出现，一旦译法靠太近，玩家会误判功能。	避免两个按钮都落成“重置/回退”近义词；保持功能边界。	demo_seeded	codex_seed
demo_ui_gamewindowselector_mindmap	THOUGHTS	想法	term_consistency	Mind Map / Mind Window / 想法图 / 思维导图在当前工程里都有竞争译法。	把它作为总术语锚点；定稿后反查按钮、tooltip、教程统一。	demo_seeded	codex_seed
demo_ui_controlsinfo_prototype	Equip / Put Away Prototype	装备/收起原型器具	device_term	Prototype 在设定里是特殊器具，不是普通“原型”。	优先从玩法功能和世界观命名一起判断，避免直译成技术开发语境。	demo_seeded	codex_seed
demo_ui_interact_dialogunavailableapat	Is there even a reason to talk… Apathy…	还有什么开口说话的必要么……对一切都很冷漠……	ellipsis_mood	句子通过省略号和重复语气表现冷漠状态，过于工整会失去人物感觉。	保留拖沓、断气式节奏；不用主动补全主语或逻辑。	demo_seeded	codex_seed
demo_ui_euthanasia_justdeathfinal_description	I failed to ease the patient's pain, but I didn't add to their suffering.	我没能减轻病人的痛苦，但至少没有让他们再受更多的苦。	clinical_reflection	既是系统反馈，也是带伦理重量的自我陈述。	保持冷静自责，不要渲染哭诉，也不要翻得像成就文案。	demo_seeded	codex_seed
