{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.45931} ……振作起来，赫伦。还什么都没证实。
{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.28765} 我不信。我拒绝相信……这不是一条街——它既是屠夫，也是捕食者！
{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.18598} 多么壮观。过去你在上级面前，宁可当场死去，也不会容许自己如此戏剧化。\n\n所以柳里切娃街确实会影响人。至少——它会让人变得夸张。
{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.42986} 什么？！你……你让赫伦走过那条会把噩梦变成现实的街？
{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.54792} 完全不是。他是自愿的。
{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.18307} 真是热忱。
{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.34021} 我从没想过……我从没想过会<i>这么</i>可怕！我的人生——我的整个人生都毁了……卡明斯基先生，这不是真的，对吧？告诉我这是梦！
{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.5601} 判定这是不是梦，正是我们当前实验的目的。剩下的只是检验你主观上认为最糟糕的现实。\n\n丹科夫斯基，你愿意帮我们吗？毕竟你比我早到这座城一周。告诉我——这座城里曾经有个叫脾区的街区吗？
{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.19987} 什么？我完全不知道。
{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.10215} 你是外来者——你是客人——你不知道！你可能弄混了，听错了，也可能有人骗了你，谁知道呢！而且……你总是把事情弄混，总是忘记，而我……\n\n对我来说这是灾难。
{Dialogs2.Days.Day9.Day9_Q17.1_SecretarySt.Day9_Q17.1_Inquisitor_Eeeexperiments.45804} 赫伦，你明显不舒服。坐下——深呼吸几次……
