{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.18155} 丹科夫斯基。我一直在等你。告诉我，你找到西蒙的尸体了吗？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.18763} 我怀疑你对是谁偷了尸体这件事，心里再清楚不过了。根本用不着我来告诉你。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.31609} 是吗？那如果我们早就全知道了，又为什么要让你去找呢？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.10449} 为了试探我。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.29119} 而你以极其优异的成绩通过了考验，丹科夫斯基。告诉我那贼的名字。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.27573} 斯坦尼斯拉夫·鲁宾。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.8996} 也许只是无聊吧。人类也好，不可能的物件也好，对你来说都一样。试试它们有多耐用，就是你的爱好。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.12287} 你来告诉我。为什么？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.8651} 我们当然怀疑过鲁宾。但那终究只是个怀疑，等着你来证实或推翻。而你刚刚已经证实了。<i>真</i>的是他吗？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.7957} 这个问题我非答不可吗？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.26626} 是他。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.32240} 那你也许知道一点，他<i>为什么</i>要这么做？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.26434} 不，不是他。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.31206} 你在撒谎。说实话吧：对于鲁宾为什么会这么做，你到底有没有<i>任何</i>想法？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.28009} 我有。西蒙的尸体是被斯坦尼斯拉夫·鲁宾偷走的。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.19058} 这倒不出所料。但他<i>图什么？</i>
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.27441} 鲁宾相信西蒙的尸体有能力抵抗瘟疫。他想拿它做疫苗。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.31319} 你说“想”。过去时。意思是他改主意了？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.408} 任何尸体都有一个缺陷：它是有限的。西蒙的也不例外。鲁宾说他做出了疫苗，但数量太少……因为尸体只有一具，而他已经把存货全耗光了。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.26479} 每个人哀悼的方式都不一样。有人穿丧服，有人进修道院，还有人则偷走自己崇拜之人的尸体，把它剖开，妄图做出疫苗。\n\n你怎么看，丹科夫斯基？是什么让他相信西蒙的尸体能治好别人？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.6774} 不。遗憾的是，他把计划贯彻到底了。他已经把整具尸体都用在实验里了。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.1500} 他显然已经神志不清了。他承受不了自己的悲痛。鲁宾已经说服自己，相信西蒙的尸体能创造奇迹。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.13318} 你不同意他？你觉得他错了？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.32486} 我不知道。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.12006} 我问的不是你知道什么。我问的是你<i>怎么想。</i>你相信鲁宾觉得西蒙的尸体能创造奇迹这件事，是错的吗？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.13592} 他把你兄弟的尸体，全耗在几剂疫苗上了。就这样。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.2945} 如果我有机会检查尸体，本来是能回答你这个问题的。可鲁宾剥夺了我这个机会。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.14633} 谢谢你，丹科夫斯基。你帮了大忙。鲁宾的命运很快就会被决定。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.21623} 我想，每个人哀悼的方式都不一样。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.26849} 你在回避问题。我原本对你期望更高……还以为你会更<i>果断</i>一些。毕竟，我们说的是你的同行。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.20814} 他不是我的同行。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.19235} 这算什么？傲慢，还是怨怼？你觉得鲁宾对尸体做出这种事之后，就该被剥夺自称医生的资格吗？\n\n……还是恰恰相反？你只是恼火鲁宾比你动作更快？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.4864} 现在说的不是<i>我</i>。告诉我，等着他的会是什么？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.27622} 等着他的会是什么？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.15552} 这重要吗？你还有更紧迫的事要处理。你为什么会关心我们这地方司法的细枝末节？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.1420} 我想替他求情。没人因为他的行为受伤。死尸又感觉不到疼。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.31153} 我们会把你的陈述纳入考量。你现在可以走了。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.12483} 各得其所。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.14818} “可以走”好像不太对。我还是被困在这座城里。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.8346} 我认为亵渎西蒙尸体这件事，是必须受到惩罚的罪行。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.865} 我觉得他已经越过了崇敬与亵渎之间的界线。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.27817} 哦？看起来他对尸体做的事让你<i>相当</i>在意。谢谢你的帮助，丹科夫斯基，我们真的很感激。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.24546} 我觉得他已经疯了。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.29865} 尸体已经没了。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.21873} “没了”？这是什么意思？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.12829} 尸体是鲁宾偷走的。他相信西蒙的尸体有能力抵抗瘟疫，而他想拿它做疫苗。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.7290} 在我说出贼的名字前，先告诉我：等着他的会是什么惩罚？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.266} 哦，所以你关心那贼的命运？为什么？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.26132} 我知道他的动机。至少够高尚。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.15893} 真<i>感人</i>：一个医生出面袒护另一个医生。不过告诉我，丹科夫斯基：你能看见别人的灵魂吗？那不正是<i>最黑暗</i>的地方吗？尤其是斯坦尼斯拉夫·鲁宾的灵魂。偷走尸体的人，就是他，对吧？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.20838} 如果你们本来就知道贼的名字，为什么还要我去找？为什么浪费我的时间？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.18893} 我们并不知道。那只是猜测。等着你来证实或推翻的猜测……而你刚刚已经证实了。也许你知道一点，他<i>为什么</i>要这么做？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.20034} 我为什么一点也不意外？早有人提醒过我，凯恩家做事总有额外的心思。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.6} 这里没有什么额外心思。我们当然怀疑过鲁宾。但那终究只是个怀疑，等着你来证实或推翻。而你刚刚已经证实了。也许你知道一点，他<i>为什么</i>要这么做？
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.1026} 我不想有人因为我而受苦。哪怕那个人是偷尸贼。
{Dialogs2.Days.Day5.Day5_Q14_ExtraditionOfRubin.Day5_Q14_Georgiy_ExtraditionOfRubin.7300} 我一点也不关心他的命运。我只是好奇。
