{ArchiveDialogs.Day6.Q2_TheOrder.23} We wish you good health, doctor.萨布罗夫家的基西尔，负责卫生控制。
{ArchiveDialogs.Day6.Q2_TheOrder.24} 好吧，我能说什么？干得好，伙计们。
{ArchiveDialogs.Day6.Q2_TheOrder.26} 你们不应该争论。我们尽力而为。手不够。
{ArchiveDialogs.Day6.Q2_TheOrder.28} 腿明显更少了？这所房子已经消失了至少三天了。感觉就像三十具尸体。
{ArchiveDialogs.Day6.Q2_TheOrder.29} 将会有什么命令？
{ArchiveDialogs.Day6.Q2_TheOrder.33} 现在有什么订单？带一台行尸车去检查——如果没有幸存者，就把它烧掉。
{ArchiveDialogs.Day6.Q2_TheOrder.34} 为了吸引感染者的行尸走肉？
{ArchiveDialogs.Day6.Q2_TheOrder.35} 而且你很快就能明白。
{ArchiveDialogs.Day6.Q2_TheOrder.36} 来自隔离区。
{ArchiveDialogs.Day6.Q2_TheOrder.37} 你疯了？这些是病人，不是罚款。他们需要和平、关怀和同情心。为自己认真对待这件事。
{ArchiveDialogs.Day6.Q2_TheOrder.39} 不，当然是勤务兵！
{ArchiveDialogs.Day6.Q2_TheOrder.38} 封锁了房子。等待送葬队伍。推车过来，找我。还有去墓地。
{ArchiveDialogs.Day6.Q2_TheOrder.30} 为什么我要花四个小时才能完成整个臭虫侵扰过程？
{ArchiveDialogs.Day6.Q2_TheOrder.25} 将空气从鼻子中吸入。不，不，不是那样的——而是发自内心的。饱满的胸部。
{ArchiveDialogs.Day6.Q2_TheOrder.1} 祝您身体健康，基西尔政府。嗯，你吵得很厉害，医生。呵呵！
{ArchiveDialogs.Day6.Q2_TheOrder.2} 什么噪音？
{ArchiveDialogs.Day6.Q2_TheOrder.3} 你也来到这里了。
{ArchiveDialogs.Day6.Q2_TheOrder.4} 我看到你还活着，而且活得很好。一个名叫 Eva Yan 的人跑来告诉我们，他们要在这里杀了你。我们还配备了一支分队来执行这项任务。你下令点火了吗？呵呵。
{ArchiveDialogs.Day6.Q2_TheOrder.5} 这不是玩笑。顺序如下。所有这些人都应该被带回家并隔离。把房子打开。每个在那里的人都应该被隔离。把房子和尸体一起烧掉。
{ArchiveDialogs.Day6.Q2_TheOrder.6} 有时我想如果他们杀了我会更好。我什至遇到了麻烦，但死亡仍然不眷顾我。
{ArchiveDialogs.Day6.Q2_TheOrder.7} 伊娃…比小孩子还糟糕…
{ArchiveDialogs.Day6.Q2_TheOrder.8} 医生，命令是什么？
{ArchiveDialogs.Day6.Q2_TheOrder.11} 不会发生火灾。死者应该埋在这所房子的后院。但立即把它埋掉！房子和后院都被封锁了。
{ArchiveDialogs.Day6.Q2_TheOrder.13} 你是说在后院吗？他们被埋葬在墓地里。拉斯卡在吗…首都有什么不同的原则吗？
{ArchiveDialogs.Day6.Q2_TheOrder.14} 墓地快爆了你的死者不会发生任何事情。这里有地球，这里也有地球。埋在这里，不要靠近房子进行炮击。
{ArchiveDialogs.Day6.Q2_TheOrder.15} 你的黄鼠狼不是机车——她会来这里。现在这里也有一个墓地。
{ArchiveDialogs.Day6.Q2_TheOrder.16} 我会被诅咒的。
{ArchiveDialogs.Day6.Q2_TheOrder.18} 做吧。
{ArchiveDialogs.Day6.Q2_TheOrder.19} 没事，别生病就行。
{ArchiveDialogs.Day6.Q2_TheOrder.12} 你在这里看到的每个人都应该被送回家并接受严格隔离。包括布拉赫博士。打开房屋并疏散人员。并把房子和尸体一起烧掉。
{ArchiveDialogs.Day6.Q2_TheOrder.20} 我不会烧毁房子。这是不可能的。因为你，我会和该隐一家产生矛盾。
{ArchiveDialogs.Day6.Q2_TheOrder.21} 做吧。
{ArchiveDialogs.Day6.Q2_TheOrder.22} 凯恩斯不在乎你。
