{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.11176} 你身上碰巧有烟吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.11431} 我不抽烟。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.3060} 可惜。香烟现在到处都买不到。全镇库存都耗尽了。断烟快把我逼疯了。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.22532} 你认识伊娃吗？我以前没在静水观星台见过你。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.6300} 伊娃的？哪个伊娃？啊，伊娃。是的，我们认识。出什么事了？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.2101} 除了她有让各色闲杂人等——比如我——住在她那儿的习惯，她还好。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.11334} 没什么。无论如何，希望她安好。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.8267} 那你为什么问起她？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.10618} 没什么特别原因。只是让谈话继续下去。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.22858} 我问你们是否认识。因为我已经在静水观星台住了几天，却没见过你。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.14177} 有意思，我几乎天天都在这里，也没见过你。我也不该惊讶，真的。这可是静水观星台。有时我觉得这里会多出一间房。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.32080} 你说“出什么事”是什么意思？我只是问你们是否认识。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.23843} 啊。抱歉。静水观星台对我来说总是这样。你知道，站在那里想，自己身处的这间房到底一直存在，还是今天才出现。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.3338} 我听过类似说法。静水观星台的名声相当古怪。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.29723} 我不是说真的会凭空多出房间。若有必要说明，我知道那不可能。我只是会有这些——该怎么说——预感。西蒙知道这个地方的一些事情。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.15095} 是吗？你认识西蒙？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.15747} 可以这么说。凯恩家雇我设计镇上的街道网络。这就是我做的事。我的意思是，曾经做的事。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.4567} 很有意思。所以看来你认识整个家族。西蒙的葬礼你去了吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.8374} 你问的问题确实有些奇怪。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.14556} 抱歉。我不是有意让你不自在。你看，我是受邀来到这座镇上的。有人告诉我西蒙是不朽的。现在我在收拾残局，可以这么说。想尽可能弄清他的一点事情。寻找一条能追下去的线索。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.9058} 我总觉得他从一开始就知道。但从未告诉任何人。你觉得他真的死了吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.16651} 哪种意义上？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.27671} 你知道西蒙·凯恩几天前死了吧？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.30481} 知道。我只是不明白这个问题。你说“真的死了”是什么意思？人还能假装死亡吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.14027} 我不知道。这正是我现在试图弄清的事。有人告诉我西蒙是不朽的，可结果他并不是。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.17393} 嗯，没人见过尸体。而如果没有尸体……
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.21976} 我是说，我们只有他的死亡传闻，都是二手说法。可没人见过他的尸体。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.26104} 我不知道这点。发生了什么？我是说，他的尸体。我不敢相信自己正站在静水观星台谈论西蒙的尸体。他要是知道，一定会笑出声。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.24454} 你们关系亲近吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.24277} 是。不是。我不知道。很难说。凯恩家雇我设计镇上的道路网络。这就是我做的事。我的意思是，曾经做的事。西蒙也积极参与，所以我们说过话。至于是否亲近，我现在也说不清了。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.1716} 我不明白这有什么好笑。我来到这座镇上，是因为有人告诉我西蒙是不朽的。可结果他并不是。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.17371} 你真的信了？我还以为你是医生。什么样的医生会相信不朽？医生天生就该怀疑。至少我一直以为医生是那样的人。怀疑论者。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.4877} 我一生都在研究死亡。试图战胜它。西蒙是我取得突破的希望。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.5926} 抱歉让你失望，但我怀疑他并非字面意义上的不朽。他当然是个不可思议的人，人们也对他说过许多不同的话。换句话说，谈到西蒙的不朽，我一直理解为，怎么说，更像一种隐喻。不是生物细胞的不朽，而是伟大的人永远活在我们的记忆里。怎么？你看起来很失望。这是坏消息吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.13624} 是，也不是。我明白你的意思。但有人告诉我西蒙是字面意义上的不朽。所以我才来。我想亲自用经验验证，可以这么说。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.14517} 不。我只是想确切知道。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.11333} 这就是我们是谁。也是我来这里的原因。我在寻找经验证据，可以这么说。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.31183} 你的眼睛悲伤得厉害。直觉告诉我，你其实希望自己的怀疑之心被改变。我听说首都有位科学家创办了自己的实验室，叫什么塔纳提卡之类，想在人类身体内部寻找细胞不朽的可能性。据说他是个愚蠢的怪人。他姓什么来着——想不起来。好像和心脏被从胸腔里扯出来有关。卡尔季奥诺夫？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.9063} 丹科夫斯基。丹尼尔·丹科夫斯基。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.29590} 就是这个！你认识他？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.30385} 认识。他是同代人中最有天赋的科学家之一。绝对的天才。更不用说那混蛋还英俊得要命。
