{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.49259} 丹科夫斯基医生！你可真难找；我去哪儿，人们都告诉我你刚刚离开……
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.51700} 哦，是你。你就是不能让事情安生，对吗？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.27261} 别这么刻薄。我不是来闲聊的。我想帮忙。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.4684} 帮忙？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.30325} 我知道你要说什么：“你还没闹够吗，弗拉德？昨天没能毁掉小镇，今天又想再试一次？”可这一次，我确实知道该怎么做。今天早上，有人告诉我供水管道被毁了。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.2927} 你发放有毒的“疫苗”；本地慈善家发放带病的水。行善的人会把这座小镇毁掉。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.41707} 你觉得冷漠更好吗？冷漠，看不见他人的需求，只顾追逐自己的利益……
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.65453} 追逐自身利益的副产品，便是造福他人。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.35724} 这话你该对我父亲说。他就是这样看待自己的……不过，还是说回正事吧。那套被毁的供水系统是我的项目……我的心血。我为了研究管道和水处理花费的所有精力和资源——如今至少还有一部分能派上用场，我很欣慰……
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.22859} 在好心的外行和犬儒的专家之间，我宁愿选后者。至少他知道自己在做什么。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.40474} 真是残酷的话，尤其是出自一位医生之口。不过，还是说回正事吧。那套被毁的供水系统是我的项目……我的心血。我为了研究管道和水处理花费的所有精力和资源——如今至少还有一部分能派上用场，我很欣慰……
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.21647} 我不该这么刻薄。你和拉维尔都在试着做重要而必要的事。这种高贵的冲动，我可以尊重。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_VladJr_Filters.20407} 谢谢你……不过，还是说回正事吧。那套被毁的供水系统是我的项目……我的心血。我为了研究管道和水处理花费的所有精力和资源——如今至少还有一部分能派上用场，我很欣慰……
