{ArchiveDialogs.Day6.Q2_StinkyMatvey.18} 准备出发了，指挥官。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.19} 你好，马特维。谢谢您再次光临。那你不害怕吗？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.22} 如何不害怕…但你必须完成工作。我不是来找你的。下达命令。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.25} 我可以把你登记在损失登记册上。根据人们的说法，周围有一个新的群体。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.28} 女性最好登记一下。这项工作需要准确性。但你可以耕我。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.31} 你来自塞德拉，是吗？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.33} 使困惑。来自制革厂。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.34} 那么那里的情况如何呢？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.35} 晚上两点、三点。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.36} 两人生病，三人死亡，还是什么？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.39} 正是这样。科瓦尔的商店也被闯入。但他们像人一样执行，没有激情。为了自己，也为了家人。他们懒得去看——显然他是一个脆弱的人。科瓦尔并没有被冒犯。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.41} 那里聚集了好人。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.43} 您将把它发送给什么任务？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.47} 马鞍有一栋可疑的房子。需要检查。如果有病人，请进行隔离。一切都按照说明进行。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.48} 您是我们做出明智决策的大师。马鞍上有一个任务，但它不适合你。我自己去吧。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.42} 好吧，我们谈过，而且会的。让我们回到正题吧。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.37} 两人死亡，三人患病？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.38} 清除。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.32} 好的。让我们来看看。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.20} 你看起来不太好。今天我该给你放假吗？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.23} 给我一个任务，我会一路走下去。而且你看起来也不那么出色。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.26} 我可以把你登记在损失登记册上。根据人们的说法，周围有一个新的群体。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.21} 你妈妈感觉还好吗？是你妈妈身体不好吗？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.24} 妈妈，她很坚强。感谢上帝，每个人都健康。就这样继续下去。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.27} 我可以把你登记在损失登记册上。根据人们的说法，周围有一个新的群体。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.1} Druzhinnik Matvey，允许我向您讲话吗？我刚刚在马鞍。那里的人们抱怨街道气味难闻。他们说从第四宫开始。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.2} 房子里有什么？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.4} 我不知道。房子周围有一些酸味。呃，这很糟糕。业主们把自己锁在里面。我不知道为什么，医生。邻居们很担心，但他们不想闯入房子，他们站在周围试图大声喊叫。但业主们没有回答。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.5} 也就是说，人们不假思索地站着呼吸恶臭？你对你所在城市的直觉如何？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.6} 硫化氢有酸味。但据我所知，屠宰场不起作用。也许是腐烂的肉。人们把自己锁在家里多久了？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.9} 我不知道。只有主人还活着。也许他们需要帮助。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.12} 好的。怎么样，雷布罗？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.14} Sedlo，4号屋，医生。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.15} 我去让他们清醒过来。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.16} 所以你就去那里吧。假设由于卫生威胁，我允许门被打破。
{ArchiveDialogs.Day6.Q2_StinkyMatvey.13} 提醒我：马鞍、房子？
{ArchiveDialogs.Day6.Q2_StinkyMatvey.3} 什么气味？
