{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.21721} 我能看到你看着我的方式。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.31221} 什么方式？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.13298} 带着轻蔑！对一个同行，竟然如此！诚然，我们不是专业意义上的同行，但我们有同样的使命。你最好听我说，因为我们在对抗同一个敌人：死亡。只不过，与你不同，我几乎已经赢了这场仗。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.22428} 你不是来证明任何观点的。请告诉我，你哪里不适？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.8813} 我不需要你的古怪爆发。我是医生，你是病人。仅此而已。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.15235} 病人？我？一个掌握能治愈一切疾病知识的人，什么病能碰我？看吧，现在你看我的眼神不同了！我看见你眼中求知的饥渴。准备好吧，把它全部接收！
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.29932} 恐怕你在向风车冲锋，而我在处理真正的敌人。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.11475} 如果我告诉你，有一位与你同道的实践者发明了能治愈一切疾病的公式呢？看吧，现在你看我的眼神不同了！我看见你眼中求知的饥渴。准备好吧，把它全部接收！
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.3919} 我很愿意和你讨论这个话题，但先放到以后。首先，我需要知道你得了什么病。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.5045} 一个掌握能治愈一切疾病知识的人，什么病能碰我？看吧，现在你看我的眼神不同了！我看见你眼中求知的饥渴。准备好吧，把它全部接收！
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.28030} 我完全不知道你在说什么。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.18393} 你应该知道，因为你我恰好是同行！诚然，我们不是专业意义上的同行，但我们有同样的使命。你最好听我说，因为我们在对抗同一个敌人：死亡。只不过，与你不同，我几乎已经赢了这场仗。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.32192} 我时间不多，直入正题吧。你有什么不适？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.31999} 我没有不适！一个掌握能治愈一切疾病知识的人，什么病能碰我？看吧，现在你看我的眼神不同了！我看见你眼中求知的饥渴。准备好吧，把它全部接收！
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.14599} 没有实验结果支持的理论毫无根据。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.7372} 我就是我的公式有效的活证据。既然有了它，我再也不会染上任何疾病！不过我会诚实地说，这套系统几乎完美，但并非没有瑕疵。有几处还粗糙。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.368} 比如？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.25079} 首先是呼吸。肺会变大，重新学会用它们呼吸需要时间。不舒服，但仅此而已。还有胚牛虫……啊，胚牛虫最糟。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.942} 胚牛虫？你什么意思？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.248} 你知道的。胚牛虫。讨厌的小东西。总想钻进你的肠子。但我已经找到办法：只要闭上嘴。没错，就这么简单。闭上，不要再张开，直到它们离开。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.16422} 胚牛虫，是吧。我明白了。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.22759} 总的来说，如你所见，为了永远健康，这是很小的代价。但你一定好奇细节。别克制，问吧！我承认，有时我也渴望受过教育的讨论……
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.12520} 我还是不明白你说“胚牛虫”是什么意思。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.7712} 就是那些小东西，像面包团。烦人得很。它们是在我拿第二版改良公式在自己身上试验时来的。之后就没走。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.9156} 你提到了呼吸问题。能说得更具体些吗？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.23963} 我告诉你，我没有问题！那是肺在净化自己、并且生长。这会让人觉得空气像被抽空了。只是暂时现象，不值得这么关注。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.2917} 你右眼的瞳孔……很特别。它影响视力吗？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.19508} 允许我坦白吗？如今有人能注意到我敏锐的眼光和睿智，我有点受宠若惊。过去，我并不总能解释自己比凡人更深地看见世界。可最近，它开始影响我的外貌了。这里面的象征性！
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.2709} 你脸上的红斑有多久了？痒吗？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.28681} 你让我猝不及防，亲爱的同行。你看，我一激动就会脸红。而只要谈到我的发明，我就会激动……
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.23038} 通常来说，声称能治愈一切疾病的人，不是庸医，就是蠢货。但每条常规都有例外。请多说说你的公式。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.10810} 终于，你愿意平等交谈了！收下它，吸收它，消化它！……现在。你有没有想过，水也许不只是赋予生命的液体，也是一座信息仓库？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.7830} 我对此有不好的预感……
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.18471} 水就像你放在桌上的笔记本。你可以在里面写字，划掉，再写别的。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.29357} 看来你读过几篇最新的化学文章……然后把被动运输过程浪漫化得有些过头。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.26628} 能别打断我吗？比如你，你扣押那些饮水桶，是因为你认为它们被感染了……
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.20611} 我不是“认为”它们被感染。我知道它们被感染了。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.4767} ……可那些桶里真正含有的，只是一串可以被纠正的词，从而把毒物变成它自己的解药。就像你从“失爱”里去掉那个“失”字。所以我的公式就是从水中的疾病里去掉这些“失”。现在明白了吗？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.21415} 我还是不明白。你是在说一种加入水里的化学化合物吗？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.22669} 我不是医生，也不是化学家。我的科学超越经验和精确。它有自己独特而分明的方法。所需的只是一张纸、一支铅笔和一些被感染的水。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.12363} 作为一项正经科学研究，这套设备确实相当俭省。也不必屈辱地挨家敲门寻找投资……
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.30842} 如果你把公式写在纸上，等它完全溶解，就会得到不但无病、还能治病的水。你不信？看看我就知道！我一直拿自己当试验对象。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.11624} 我想我终于明白你所谓的实验是什么了。不幸的是。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.30369} 看来我们说到你承认自己只是喝了感染水的部分了。对吗？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.3252} 我厌恶拿别人做实验的做法。我的每一件造物都只在自己身上测试。我的科学超越经验和精确。它有自己独特而分明的方法。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.9899} 你只在自己身上测试过一切，是这里唯一的好消息。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.8905} 所需的只是一张纸、一支铅笔和一些被感染的水。如果你把公式写在纸上，等它完全溶解，就会得到不但无病、还能治病的水。你不信？看看我！
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.14539} 那些实验并非没有在你身上留下痕迹……
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.11235} 那里面到底是什么？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.10881} 我没有扣押任何东西。不过也许我该扣押。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.31056} 我当年考试后和其他学生喝酒时，曾允许自己有更大胆的革命思想。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.11099} 谢谢你的回答。这很……有教育意义。你还想补充什么吗？比如实验之后你的感受。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.5537} 嘘，亲爱的同行……安静。你听见了吗？哦，不。恐怕是它们。胚牛虫。是的，一定是它们！已经有一只在你肩上了！小心，把嘴闭紧！
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.17447} 够了。它们只是你失控想象的产物。
