{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.3642} 你为什么帮我？别误会，丹科夫斯基，我很感激。但我还是要问：为什么？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.26854} 我想让你亲身经历你为自己造出的那个怪物。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.40007} 看来就是这样的日子。意外援手接连出现的日子。你知道吗，玛丽亚·凯纳来拜访过我。看见她进来时，我觉得束网的屋顶都倾斜了，马上就要把我埋在废墟下。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.27318} 我明白。玛丽亚·凯纳身上有种令人不安的东西。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.20699} 我过去对那些关于女主人和她们力量的故事一直抱怀疑态度。你知道的，迷信，小镇传闻……
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.64949} 只是你的神经太紧绷了。可以理解。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.7093} 我以为玛丽亚会报复我。不管用什么方式：让审判官改变决定，驱使人群对付我，或者真的诅咒我，像人们说女主人能做的那样……瞧我，都在胡说些什么！可玛丽亚向我显出了怜悯和仁慈。她原谅了我。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.60015} 也许是怜悯。但玛丽亚·凯纳——仁慈？你在欺骗自己，尤利娅。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.25548} 玛丽亚好心告诉我街道被封锁了。她猜到了，她看出知道这件事对我有多重要。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.56192} ……也看出你会冲到这里来和巡逻兵争辩。若没有我，谁知道会怎样收场。确实是非凡的仁慈。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.41382} 够了，丹科夫斯基，别再诽谤她。就算你是对的，也不重要。这条街的命运对我来说比任何事都重要。你能理解我的处境，不是吗？如果有人告诉你，你的实验室出了灾祸——那个人是朋友还是敌人，有区别吗？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.6939} 这一下可真狠，尤利娅。一谈到死亡研究所，我的清醒判断就会失灵。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.7473} 那你打算怎么做？这条街被围起来，是因为它危险。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.2086} 玛丽亚确实懂得创作者的需求。否则，凯恩家也不可能庇护那么多才华。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.41018} 剩下的，只是弄清凯恩家当初相信我的才能时，究竟错判到了什么程度。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.58043} 我昨天已经全弄清了，尤利娅。这条街就是个怪物。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.33246} 昨天，你还说这件作品最不值得注意。说它微不足道。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.1094} 你为什么非要冒这个险？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.33315} 所以你发现这条街被围起来了。然后呢？你的计划是什么？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.35843} 说来惭愧，我害怕自己的街。我以前一直避开它，给自己编造借口。我假装是跛行妨碍我正确走完那条路线。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.48870} “假装”？难道不是事实？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.36543} 我已经算出一种抵消跛行的方法。有办法让我走过这条街，让它打开。但我需要一个人同我一起走，来帮我。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.41451} 不。绝无可能。我不会再进那地狱一次。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.38758} 别怕，什么都不会发生在你身上。按照我的计算，街道会打开，但不是为你打开。你会成为钥匙，而走进门的人会是我。你不会有危险，我保证。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.44601} 那你呢？我不只是担心自己。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.17277} 在内心深处，我仍然不相信这条街会像你说得那样可怕地运作。我不愿相信。但我必须确认。我需要确认，你看不出来吗！
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.59119} 你的冲动当然高尚。不过，这风险很严重。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.53290} 就我个人而言，我宁愿再也不要听说，有人会在一次普通散步里跌进噩梦。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.29893} 你怎么能确信自己的计算？就在昨天，你甚至还不知道你的街究竟会怎样影响别人。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.775} 结果和达成结果的方法，是两回事。你可以不知道一种药到底会产生什么效果，但你知道如何把它注射进病人体内。这是同一回事。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.49534} 有道理。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.39131} 相信我，丹科夫斯基。毕竟我是这条街的创造者。你只需要从相反方向朝我走来。街道只会对按预定方向行走的人作出反应。那个人会是我。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.21378} 我只要从相反方向走？听起来并不难。那就让我们终于把这件事了结。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.47968} 谢谢你，丹科夫斯基。谢谢你给我一次直视真相的机会。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.23057} 现在我自己也好奇起来了。我想知道这一切在你身上会怎样结束。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.15351} 我不能拒绝一位为自己的造物而战的创造者。或者说，与自己的造物作战。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.21430} 可以开始了吗？人这一生，总有一次会发疯。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.5313} 算了。我不会踏上那条街。我帮你说服了守卫，可你还是不满足。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.54284} 把街道封起来没有意义。要修正我计算里的错误，我必须亲眼看见它，必须看进这条街的内脏里。那样我才能弄清问题出在哪里。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.22013} 不。我有预感，这不会有好结果。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.58391} 我明白。我也不能怪你。我只好去找另一个共犯。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.38831} 祝你好运，尤利娅。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.5096} 我希望这条该死的街不会杀了你。也不会杀了你的共犯。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.21953} 维克多走过那条街，看见了瘟疫，而瘟疫成真了。我真不敢想你会看见什么。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.58185} 我不喜欢整个主意，但我同意。否则你会把别人卷进来。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.60391} 可说真的，你希望这条街把你逼疯。杀死你。对吗？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.45856} ...
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.17489} 你沉默了。这说明我猜对了。所以你要我帮你自尽？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.9230} 不。我不知道……如果这一切都是真的，如果这条街真的会把人逼疯，如果它把我们锁进最糟的命运里，那就说明我有罪。那就说明我应得……无论这条街要对我做什么，不是吗？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.41515} 没有人配得上这条街对人做的事。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.15964} 那你会帮我吗？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.17108} 你应该最清楚该如何面对自己的良心。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.45035} 我想也是。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.41651} 沉默似乎就是承认。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.38048} 为什么人人都以为医生一定擅长打针？尤其还以为科学家擅长！那是医护人员的活。不过我明白你的意思。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.21101} 可你一个人在和巡逻兵争辩。你还没找到共犯，对吗？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.42359} 还没有。不，别那样看我，丹科夫斯基。是的，我担心，我还没找到共犯就急着冲到街上来……但有一件核心的事我很确定：我能走过这条街，而且我必须这么做。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.31035} 就算我愿意帮你。这一切听起来也不像一个稳固的计划，对吗？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.8574} 你大概首先应该冷静下来。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.51330} 你知道吗，我当初从首都冲到你们小镇来时，差不多也是这样。看看我后来落到什么地步。清醒一点，尤利娅。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.7241} 从那以后有什么改变？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.55651} 我不知道由罪疚牵着走是不是好事。我不确定你不会为了安抚自己的良心而犯下更多错误。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.46807} 所以她原谅了你，你反而难受了百倍？抵御外来的指控，要比独自面对良心容易得多。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.47004} 很好。少了一个麻烦。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.40520} 任何迷信都必有来处。无火不生烟。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.40140} 会把你埋掉的不是屋顶，尤利娅。是你的罪疚。是为了所有在你那条街上遇见自己噩梦的人而生的罪疚。还有更沉重的，是为了维克多·凯恩的罪疚，因为承受惩罚的人是他。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.61346} 谢谢你的坦率，丹科夫斯基。这正是我喜欢你的地方。是的，我有罪，而且我也逃过了惩罚。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.12912} 我也喜欢你。我喜欢你身上大胆的头脑与良好判断并存。但今天，你显然缺了后者。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.26624} 你是在玛丽亚来访后决定的吗？
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.47083} 我没想到你会如此怯弱。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.2639} 我一看见你在这里，就知道劝你回头是徒劳。
{Dialogs2.Days.Day8.Day8_Q4_NightmareOnLurichevaStreet.Day8_Q4_Yulia_MustTest.31173} 你知道人们怎么说，尤利娅：若不能胜过他们，就加入他们。
