{Dialogs2.Technical.Salesman_Introduction_Children.2822} 嘿！高个子！前几天我们的人顺走的，是你的东西吗？
{Dialogs2.Technical.Salesman_Introduction_Children.61907} 我宁愿不要再被提醒那件事。
{Dialogs2.Technical.Salesman_Introduction_Children.46134} 哎呀，别这么一惊一乍！那是个测试，看你是好人还是坏人。坏人会跑去找大人告状。你倒还行。没乱发脾气，一转眼就全换回去了。这种事我们就尊重！
{Dialogs2.Technical.Salesman_Introduction_Children.9680} 谢了，算是吧。
{Dialogs2.Technical.Salesman_Introduction_Children.5295} 那我长话短说：我们召开了儿童议会，决定接纳你进入我们的，怎么说来着，<i>商品交易所</i>。但你不能玩我们的游戏。我们也不会给你看隐形猫。不过交易这个那个乱七八糟的东西……随时欢迎。
{Dialogs2.Technical.Salesman_Introduction_Children.52576} 谢谢，免了。不如<i>你们</i>今晚来静水观星台。伊娃一定会有些苹果干给小家伙们。
{Dialogs2.Technical.Salesman_Introduction_Children.36560} 儿童议会可是会改主意的，你知道吧！到时候你去哪儿弄醒酒药？或者臭脚膏？或者彩色玻璃片？\n\n我们的商品种类多到让人头晕。偶尔甚至有人拿什莫粉来换……如果他们够傻的话。
{Dialogs2.Technical.Salesman_Introduction_Children.7760} 谢谢，我会记住。
{Dialogs2.Technical.Salesman_Introduction_Children.38440} 总之，我们会待在高高的地方附近。那种老远就能看见的地方。就像这里！要是有长颈鹿在这儿闲逛，我们就会躲在它下面，可我们的冬天对长颈鹿来说太冷了。\n\n还有一件事。我们不要你那些叮当响的小玩意。留给乞丐吧。现在它们不值钱了。给我们带些好货，实在的货。甲虫和蝴蝶。坚果也要！
{Dialogs2.Technical.Salesman_Introduction_Children.48009} 我现在有回忆录下一章的标题了。“那次我在快塌的阶梯上用蟋蟀换吗啡”。
{Dialogs2.Technical.Salesman_Introduction_Children.11011} 所以树叶在孩子们的市场上已经卖不上好价钱了。
{Dialogs2.Technical.Salesman_Introduction_Children.14371} 你知道吗，我第一天来这里就丢了些药。现在我明白你们的货是怎么来的了。
{Dialogs2.Technical.Salesman_Introduction_Children.19287} 我实在看不出这类把戏有什么吸引力。我可以去药房买药……至少我希望如此。
{Dialogs2.Technical.Salesman_Introduction_Children.1238} 那你们除了偷来的机械装置，还卖什么？泥饼？树枝？
{Dialogs2.Technical.Salesman_Introduction_Children.18752} 我见过你们那只隐形猫。它就是一只猫。
{Dialogs2.Technical.Salesman_Introduction_Children.50031} 是啊，“见过”，对吧。拜托，你骗谁呢？<i>它是隐形的。</i>不过我们能交易的破烂可看得见。赶紧看看，要么就走你的阳关道。
{Dialogs2.Technical.Salesman_Introduction_Children.909} 不过我不尊重小偷。就算是小不点小偷也一样。
{Dialogs2.Technical.Salesman_Introduction_Children.4361} 真希望我所有问题都能这么轻松解决！
{Dialogs2.Technical.Salesman_Introduction_Children.40274} 趁现在还能走，快走吧！
{Dialogs2.Technical.Salesman_Introduction_Children.21153} 是啊，如果你说的“东西”是指一间对人类价值非凡的实验室，而“我们的人”指的是首都的当权者。
