{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.26172} 什么情况？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.28602} 我正在查明。你会回答我的问题吗？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.32575} 是，长官。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.27996} 你眯着眼，还把视线转开。是在躲灯光吗？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.29430} 我的错，长官！太亮了。我被装在一节加热的货车里运到部署地点，车厢没有窗，也没有照明。路上好几天以后，我的眼睛重新适应了黑暗。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.14754} 你的眼睛很红。睡眠不足？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.30230} 是，长官！不过我必须指出，我早已习惯少睡，以前从没因此眼睛发红。现在为什么发红，原因不明，长官。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.10812} 你脸色发白有多久了？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.11380} 不知道，长官。我没看见过自己。离队前，我还是制式肤色。那以后就没有机会照镜子了。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.17157} 你掌心上那些是疮口吗？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.19128} 不是，长官！抵达本镇后，我被分派了工程作业。为人员通行和通信线路挖掘勤务壕。因此磨出了流血的茧。对此我没有怨言。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.14405} 你背上到处都是红痕。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.9813} 没事，这种事常有……
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.25379} 常有？你是说这是慢性的？你背上的发红是长期、规律出现的？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.58779} 长期、规律，是的。所以算慢性。违抗直接命令，军用皮带二十鞭。师里就是这样。我认为惩罚合理，其结果不属于医疗关切范围。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.15168} 布洛克将军就是这样治军的？传闻还说他以公正为统帅风格呢。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.60293} 嗯，又不是将军亲自动鞭。士兵需要知道的东西有限。命令怎么一层层下来，谁也说不准。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.57967} 慢性违抗。我能理解，不过帮不上忙。我也有同一种病。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.33777} 请求直言，长官？幸好这种病没药可治。世上最不该存在的，就是让良心轻松的药片。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.27843} 我是在诊断你，不是在表达同情。那些红痕是什么？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.62507} 违抗直接命令，军用皮带二十鞭。师里就是这样。我认为惩罚合理，其结果不属于医疗关切范围。
