{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.12883} 你回来了。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.17441} 你去找格蕾丝了吗？跟她谈了吗？她怎么说？他还活着吧，我们的儿子？他活着，对不对？
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.15058} 他活着。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.32746} 这怎么可能……
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.26873} 你还一直跟我说那些！我们得走，我们得去他身边：他还在恢复，需要我们照顾。我去医院当护士，这样就能日夜守在他附近。我去给你拿工作靴，帕维尔。快，赶紧。去切换轨道。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.1470} 停下，艾拉，等一下。他在骗我们，他就是在骗！为了达到目的撒谎。看着我的眼睛说：“你的儿子还活着，正在首都等你。”
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.14466} 你的儿子还活着，正在首都等你。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.29741} 你听见了吗，帕维尔？现在信了吗？信我是对的吗？
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.6161} 不可能……所以我们的桑尼真的还活着。但我向你发誓，丹科夫斯基，如果你在撒谎……
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.16765} 为了个人私利，拿儿子的命运欺骗他的父母？你刚指控我的卑劣，真是不寻常。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.15994} 他说得对，帕维尔。没人会做这种事。那太残忍了。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.11498} 抱歉，丹科夫斯基。我失了态。不是有意冒犯你。也谢谢你。自从桑尼那封信之后，我不知道该怎么活下去，为什么活。现在我知道了。现在我能见到他，抱住他。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.30106} 你会见到他的。只需要切换轨道。等我的命令。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.25533} 我替你们高兴。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.9404} 格蕾丝听不见他，这点我可以确定。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.28428} 我不能告诉你。我只知道，格蕾丝在死者中听不见他的声音。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.23017} 很遗憾，她不知道。我也不知道。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.618} 怎么会这样？格蕾丝不是能听见死者的声音吗？
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.27953} 她能。但你们的儿子在很远的地方，格蕾丝只能听见附近的人。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.4745} 那现在怎么办？我们该做什么？
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.20452} 艾拉，你终究得接受事实。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.14172} 要弄清你们儿子的命运，我们必须到首都去。只有这一条路。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.11929} 我帮了你们。现在轮到你们了。请切换轨道。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.18066} 在你来之前，我们不知道桑尼怎么样。在你来之后，我们还是不知道桑尼怎么样。你到底帮了我们什么？
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.30771} 如果你帮我，等我回到首都，我会第一时间找到你们的儿子，给他合适的医疗照护。我保证。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.30080} 我说过，不行。要是他们因为你把我扔进牢房，你对我有什么用？你要我违反隔离，这事不会发生。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.5950} 现在我后悔把真相告诉你们了。早该撒谎。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.3168} 我已尽所能，愿有能者做得更好。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.12042} 至少我试着查出点什么。你们只是把头埋进沙里，坐在这里等着不知什么东西。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.21116} 头埋进沙里，也好过心上开洞。年轻人，你是在煽动我犯罪。如果他们把我扔进牢房，你对我有什么用？你要我破坏隔离，这事不会发生。
{Dialogs2.Days.Day7.Day7_Q10_Switchman.Day7_Q10_SwitchmanFamily_SchroedingersSon.16867} 要知道你们儿子发生了什么，唯一的办法就是去首都。这个道理你们自己也明白。
