{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.58892} 是你。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.54362} 是我。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.47376} 听到这事我很遗憾。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.58615} 真奇怪的开场。你遗憾什么？
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.20052} 我看得出来，你是来抱怨的。这两天我一直听人哀叹我父亲的死，好像<i>他们</i>才是他的孩子。我真希望他们闭嘴。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.63021} 你弄错了。我是以专业身份来的。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.1631} 我不在乎你想要什么。我自己的麻烦已经没到太阳神经丛了。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.12459} “没到太阳神经丛”？这是本地说法？在首都，我们说“没到脖子”。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.54138} “没到脖子”是说“很多”。“没到太阳神经丛”是说有一件大事，让你想自我了断。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.27400} 听到这事我很遗憾。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.9492} 我正在调查伊西多尔谋杀案。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.43649} 你在这里做什么？
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.40948} 这不是你的悲伤。走。我自己的麻烦够多了——都没到太阳神经丛了。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.23112} 你知道，我们互通过信。你父亲和我。他邀请我来这里。没有他，我在这座小镇上迷失了——不知道该去哪，也不知道该做什么。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.26467} 听到这事我很遗憾。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.39399} 所以现在我试着弄清他出了什么事。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.63826} 别插手。我父亲的死是我的khargy（道路）。不是你的。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.49535} 但我能帮忙。我发现了一些细节。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.25188} 嗯。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.17999} 我去过犯罪现场。在那里见到一个高大的草原人——他自称奥云。封住那栋房子的就是他。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.6137} 奥云是屠宰场的工头，在金族中是重要人物。父亲的亲族。这意味着他获准进入死者之屋。但他无权禁止其他人进入。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.50915} 你父亲的房子被污染了。瘟疫正从那里蔓延到全城。我很确定——我分析过样本。
{Dialogs2.Days.Day2.Day2_Q5_IsidorFuneral.Day2_Q5.3_Haruspex_Investigation.32734} 我看见墙上的霉，听过第一次暴发幸存者的低语。但我没有自己的设备来验证他们的话。幸好你检查了。
