{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.5328} 穿蛇皮大衣的人。你带来悲伤。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.65087} 除了悲伤，你还带来了什么？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.5865} 我带来人们想要的东西——他们梦见的，他们最害怕的。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.17159} 你为什么闯进玛丽亚那一翼？回答我。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.7512} 那么，拉拉·拉维尔是盼着死吗？所以你才杀了她？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.62233} 而且你还顺手牵走东西——不止悲伤，还有私人物品。承认吧，克拉拉：是你闯进了玛丽亚那一翼，对不对？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.5814} 是我。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.41875} ……说实话，我没想到你会这么坦白。为什么？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.33787} 我在找钩子。我一直在找钩子——能把人钩住的东西。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.8011} 所以人在你眼里都是鲤鱼？接下来你是不是要说自己整天都在钓鱼？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.13946} 我确实钓鱼。人在岬角还能做什么？你把一个人钩住，就结束了——他们就是你的，挣不脱，只会照你说的做。玛丽亚倔得可怕；她想做蠢事，而我不喜欢她的蠢。于是我在找办法……
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.18366} 我会告诉布洛克将军你在偷东西。他能把你关进牢房一阵子。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.54214} 蠢医生先生。我昨天就钩住布洛克了。现在他只听我的。你在这里什么都做不了。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.32174} 跟你说话没有意义。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.21064} 那你也给我找到了钩子？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.50444} 你没有——没有。你受另一种意志支配；我感觉得到。外来的意志，好像镜子后面有另一个人在指引你的一举一动——你的钩子全在他手里。就连现在，他也塞在你的肚子里，塞在你那颗空脑袋里。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.34839} 我受够你的疯话了。我走了。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.39238} 没人支配我。我的命运属于我。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.29860} 至少没人支配你。
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.28196} 这些蠢计划跟审判官有关吗？
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.7183} 这些“蠢计划”关系到镇子的命运。我在试着救镇子——而你们所有人都在挡我的路！
{Dialogs2.Days.Day10.Day10_Q9_MariaJudith.Day10_Q9_Changeling_Theft.19431} 是，是——唯一能拯救我们的人。我已经听过了。
