{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.55264} 有时我后悔自己没有学医，只能凭直觉去帮助别人。   但反过来说，那就意味着我必须离开这里，哪怕只是暂时离开，去求学。我的一个朋友做到了，可我——我无法想象离开。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.20819} 你是不能离开，还是不愿离开？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.5433} 这个问题没有简单的答案。这里有些人，我就是……没法丢下。或者也许我一直这样劝自己。后来，我听说父亲去世的消息，这就把我钉在了这座城里。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.4989} 你父亲是怎么死的？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.18128} 我的父亲，拉维尔上尉，是一位英雄。就这么简单。我努力让自己活得配得上他的名字，也正因此留在这里。不过您是为正事来的。关于这里的状况，您想让我告诉您什么？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.63244} 你觉得重要的都可以说。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.58611} 为了别人牺牲自己的未来，这很高尚。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.18882} 你做这个多久了？我是说，慈善。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.49533} 从我父亲去世以后。他是个严厉、守规矩的人；但要他拒绝一个有难处的人，那在他看来是可憎的。他死后，我决定在这里办一间庇护所。这样人们总能有食物，有片瓦遮头……而我的房子也不至于像坟墓一样安静。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.55269} 你的朋友？你指谁？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.21216} 我们小时候叫他“小熊”。您认识的他叫阿尔乔姆·布拉赫。他总是被撕在两边——小镇和草原之间，族民的传统和他对新知识的渴望之间。想到离开的那个人是他，如今回来的也是他，真是奇怪。而留下来的，反倒是我。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.38339} 所以你们是儿时的朋友？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.29321} 是。我们向来形影不离——阿尔乔姆，我，还有另外两个同龄人。但我不该拿自己的回忆浪费您的时间。您是来问庇护所的事。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.24226} 我能问问，你当初为什么要把自己的家改成庇护所吗？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.44317} 这是我父亲的房子。关于他的记忆就在这里。他是个严厉、守规矩的人；但要他拒绝一个有难处的人，那在他看来是可憎的。他死后，我决定在这里办一间庇护所。这样人们总能有食物，有片瓦遮头……而我的房子也不至于像坟墓一样安静。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.50835} 那很高尚。但你不能把自己活埋起来，为了别人牺牲自己的一生。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.31809} 您为什么觉得我“牺牲”了什么？庇护所给我力量。它让我觉得，自己不是白白来到这世上。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.15468} 我明白。我们需要目的，就像需要空气。也许比空气更需要。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_Lara_Water.11619} 而我已经有了目的。所以我才请您来。关于庇护所的状况，您想让我告诉您什么？
