{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.64018} 孩子们怎么样？他们偷糖、忘记刷牙，我都不在乎，只要别发生更糟的事。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.53062} 我去看过孩子们了，基拉。他们还好。至少看起来没有病。他们想你，还在发明新的游戏。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.49352} 谢谢，谢谢你，丹科夫斯基医生！你会帮他们吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.27529} 你要我把孩子们从斯塔霍维亚克家带走。就算我能办到，谁来收留他们？如果你能说出镇上几个可靠的监护人，事情会容易得多。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.51314} 我得想想。我还有时间吗？这可是孩子们。我不想让他们落进愚昧的家庭。他们需要正经的教育和礼仪……
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.27889} 你拟好名单后，告诉我的助手……他眼下本不该再添工作……不过，写信和发请求总比治病容易。他反正坚持要帮忙。对，把名单交给我的助手。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.29519} 好，我明白。我会把可能的监护人名单交给利特尔，让他去联系他们。那斯塔霍维亚克呢？你查出他的问题了吗？他真的危险，还是我胡思乱想？既然你愿意转移孩子们，我想多半是前者。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.60566} 不，你不是胡思乱想。萨夫卡看见他父亲咳血。可那人仍不肯求医。仅凭这一点，就足够把孩子们从他家带走。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.1065} 我明白了……这听上去太糟了。自己的命愿意怎么糟蹋都行，可别把孩子们也拖进去！
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.54130} 谢谢你如此警觉。现在等你的诊断吧。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.10158} 斯塔霍维亚克开始相信戈尔孔河的水能保护他和所有追随者免受瘟疫侵害。某种意义上，他是对的：看起来他从水里染上了另一种病。也正是这种病，减缓了你体内沙疫的进展。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.46569} 我们先谈谈你自己的经历。我可以问你几个问题吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.62666} 当然，问吧——不过，要是你本可以去帮孩子们，我不愿你把时间浪费在我身上。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.59298} 你的脸和身上有皮疹。痒吗？什么时候出现的？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.18305} 我想是在瘟疫之前。我有过敏症，一到秋天，本地的草会一齐开花。我确信是花粉惹的。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.28701} 你不是说你六个月前才到这里吗？这是你第一次在镇上过秋天。你不能确定自己的身体会怎样应对开花的草原。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.53591} 是。严格说来，你是对的。我怀疑是过敏，但不能肯定。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.39280} 你的眼睛发红。又是过敏？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.10214} 我的眼睛？这几天我几乎没睡——一直想着怎么救孩子们。我想是这个原因。
