{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.21721} 我看得出您是怎么瞧我的。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.31221} 哪种方式？
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.13298} 带着蔑视！而且请允许我指出，你我碰巧还是同道！当然，不是在职业意义上，但我们有同样的使命。既然我们在对抗同一个敌人，你最好听我说。死亡。只不过与你不同，我几乎已经赢下我的战斗，不管有多少人把你捧成英雄，把我当疯子。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.22428} 你不是来证明什么观点的。你是来治病的。所以请告诉我你哪里不适。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.8813} 你的怪异爆发与我无关。告诉我你来就诊的健康问题，否则就出去。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.29932} 问题在于，你在和风车作战，而我面对的才是真正的敌人。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.11475} 如果我告诉你，你这门技艺的一位同行设计出一种能治愈一切疾病的公式呢？果然，你看我的眼神变了！我能在你眼里看见求知的渴望。那么准备好接受完整的知识吧，因为我设计出了一条能清除一切疾病的公式！
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.28030} 我完全不知道你在说什么。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.18393} 你应该知道，因为你我碰巧是同道！当然，不是在职业意义上，但我们有同样的使命。既然我们在对抗同一个敌人，你最好听我说。死亡。只不过与你不同，我几乎已经赢下我的战斗，不管有多少人把你捧成英雄，把我当疯子。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.32192} 我没多少时间。说正事。你哪里不舒服？
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.31999} 什么都没有！掌握了能治愈一切疾病的知识，怎么还会被病痛侵袭？果然，你看我的眼神变了！我能在你眼里看见对知识的贪求。那么准备好接受完整的知识吧，因为我设计出了一条能清除所有疾病的公式！
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.14599} 没有实验结果支撑的理论毫无根据。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.7372} 你太看低我了。我本人就是公式有效的活证据。现在我有了它，就永远不会染上任何疾病！不过我得诚实承认。这个系统是完美的，但并非毫无瑕疵。还有几个地方尚显粗糙。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.368} 比如？
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.25079} 比如呼吸。肺会变大，学会用这样的肺呼吸需要时间。因此常常很难深吸气。还有恩博虫……啊，恩博虫最糟。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.942} 恩博虫？那是什么意思？
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.248} 你知道的，恩博虫。又小又恶心，总想钻进你的肠子里。但我已经想出了解法。你只要把嘴闭上。对，就这么简单。闭上嘴，直到它们消失之前都不要再张开。总体来说，为了永久健康，这点代价很小。不过你大概想知道细节。别克制！问吧！
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.12520} 我还是不明白你说的“恩博虫”是什么意思。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.7712} 嗯，它们很小。有点像小面包球。还讨厌得要命。它们是在我拿第二公式在自己身上试验时来的。从那之后就再没走。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.9156} 多说说呼吸问题。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.23963} 我说了，我没有问题！那是肺在自我清洁并生长，所以才会产生空气不够的感觉，就像空气全被抽走了一样。这是过渡现象，不值得注意。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.23038} 通常，声称自己能治愈一切疾病的人，不是庸医就是蠢货。但凡事都有例外。我想进一步了解你的发明。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.10810} 你终于愿意平等地谈话了！吸收它，领会它，消化它！那么让我问你，你有没有想过，水不只是赋予生命的液体，也是一种信息储藏器？就像你桌上的笔记本，可以写字，划掉，再写上别的。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.29357} 这是对微量物质在水中转移过程的过度浪漫化描述。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.26628} 请不要打断我。你扣下那些饮水桶，是因为你以为它们被感染了。但它们真正包含的，只是一串可以修正的词语，于是毒物便能变成自己的解药。就像把“失和”这个词里的“失”去掉一样。我的公式正是为此而设：把水里真正包含的疾病中的“病”去掉。现在明白了吗？
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.21415} 我还是不明白。你是在说某种加入水中的化合物吗？
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.22669} 我既不是医者，也不是化学家。我的科学超越经验与精确。它有自己的方法，独特而不同。所需的只是一张纸、一支铅笔和一些染疫的水。把公式写在纸上，等纸完全溶解，就会得到不仅无病、而且能充当解药的水。不信？看看我就知道了！我永远是自己的实验对象。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.30369} 看来我们快说到这一段了：你所做的一切，只是喝了受感染的水。我说得对吗？
