{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.2497} 现在你能把文件给我吗？我显然很好。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.25624} 不，你显然不是。你得回答我的问题。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.28928} 我会的，反正我也没多少选择。只要能拿到你的撤离许可，怎样都行……
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.31634} 你全身都有红斑。这不是会看漏的东西，可你还坚持说自己健康。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.8781} 你说我的疹子？只是过敏，医生。没什么稀奇。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.7833} 你的眼睛发炎了——这个你怎么解释？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.17164} 有什么好解释的？为了想怎么救孩子，多少个夜晚没睡……
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.13631} 我记下的症状太多了，这样无法诊断。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.29061} 别管那些了，医生！重要的是我们没有沙疫。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.11602} 尽管如此，我还是必须弄清楚。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.50452} 你的孩子跟着你到医院来了。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.2458} 可怜的小东西……看见他们，难道你的心一点都没有动吗？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.12182} 拼布，作为一个人，我理解你。但作为医生，我需要弄清一些细节。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.18828} 你没有心！在你眼里我们不是人，我们是病历。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.16462} 你的孩子脸上有红斑，和你全身的红斑一样。可你还坚持说你们都健康？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.10219} 只是过敏。没什么稀奇。我们家族一直这样。你难道说这种事不可能有？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.27762} 我告诉过你了，医生，那是过敏。我们家族一直这样。你难道说这种事不可能有？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.21054} 那你们三个人究竟对什么过敏，能过敏成这样？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.19687} 对——对巧克力。只要吃一小块，我们就会起斑。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.24667} 你们什么时候吃的？什么巧克力？在哪里买的，一条多少钱？吃下后多久过敏发作？把细节说清楚。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.36448} 这算什么，审问吗……？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.8188} 你的过敏是什么时候开始的？你怎么治疗？明知道自己过敏，为什么还吃巧克力？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.35931} 你的孩子眼睛发红。你也是。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.23218} 你以为他们太小，什么都不懂？你以为他们没什么可哭的？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.17549} 你儿子说他从不哭。你的说法似乎对不上。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.34835} 哦，他只是装得勇敢。他是个很骄傲的小男孩。
