{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.4574} 好先生！不得不请您走铁轨另一侧。这里通行关闭。
{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.1954} 能否请你说明，为什么要挡住自由公民的去路？
{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.2021} 乐意回答！那边，说出来吓人，出了尸体。您一看就是外来客，为此我实在羞愧，得赶紧说明：平常我们这座城不习惯也不适合这种事，情况罕见，只不过今天冒出了个开膛手。
{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.63336} 哈！我正好是医生！
{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.22809} 啊！您想必是巡逻的人？请您记录：“刚到的丹科夫斯基学士被发狂儿童抢走：六只手提箱，其中……”
{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.47319} 抱歉，学士先生，上头没吩咐我办这个。我在这儿守着，眼下该做的就是守着。
{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.27817} 就找不到人替你吗？你身后有相当数量的尸体。相信我，它们不会靠自己从这里走开。
{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.54704} 某位格里夫亲自且特别请求我确认雅科夫·斯捷尔赫疑似死亡。也许本地资产者的话，在你这里比外来者的话更有分量？
{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.26921} 呸！格里夫。我一个人站在这儿，可不想惹麻烦。先生，恕我直言，您在镇上第一批结识的人选得不太对。过去吧，只是动作快点。
{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.32532} 今后我很乐意把通讯录里的所有联系人都先拿来给你核准。
{ArchiveDialogs.Day1.Intro_Station_Patrolman_Stop.6658} 好吧，当差的。
