{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.10211} 你不能进来，没人在家！
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.8164} 陶比住在这里吗？
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.28077} 我们都住这里！我，还有陶比，她是我姐姐，还有我们的妈妈，还有……不，等等，就这些。我又数乱了。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.21653} 我是医生，正在治疗你姐姐。她病了多久？
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.22207} 好久！我不会数，但妈妈骂人的时候说了什么整整一周。妈妈非常非常生气，因为“整整一周”都没人帮她干家务。每个星期都是整的吗？
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.5149} 还有工作周。人们说它比整周短，但那是谎话。它长得多，多得多。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.2383} 真有意思！还有一点可怕。也许是一大点？
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.14120} 如果我治不好你姐姐，真正可怕的事才会发生。所以你妈妈骂人时提到了一周？
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.17549} 嗯。她总骂陶比，有时候也骂我。但我不生病，所以她骂我没骂陶比那么多。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.14486} 她对你们很严厉吗？
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.22631} 严厉！她会罚我们、骂我们，甚至打我们耳光。我们表现好时，她有时候会给我们棒棒糖。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.17568} 她给陶比吃药了吗？
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.16982} 没有。她带她夜里去了草原。她说那肯定肯定会有用，还说科佩金家就是这样把儿子治好的，然后她们又去了草原。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.22332} 但没有用，对吗？
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.30045} 陶比哭了，她说自己更难受了！她头疼，呕吐，热得睡觉时都说梦话。妈妈更生气了，我要是问什么，也会挨一份。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.21343} 你知道她们具体去了哪里吗？草原很大。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.29774} 我知道得很具体！本来不该知道，但我偷偷跟过去了。村子边上有个帐篷，她们就是去了那里。后来妈妈发现我在看她们，所以我现在躲着家，免得被她看见……
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.7031} 这一切都很奇怪。谢谢。我得亲自去草原一趟。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.7794} 我会和你母亲认真谈谈。但先要弄清事情到底怎么回事。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.2979} 但你并不是真的怕她，对吧？请别怕。跟她争，顶住她。否则等你病了，她也会把你带去草原。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.8282} 你说她吐了？没人向我提过这个症状。除了你，小姑娘。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.59938} 她吐了！但妈妈说那没什么，陶比只是在草原吃了我们家里不吃的东西。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.29784} 她夜里把她带去草原？她疯了吗？要了结一个病人，有比这更人道的办法……
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.13898} 她因为女儿生病而骂她？真的？
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.23130} 她因为她生病骂她！她说没人去打水，也没人去店里。我不许去，因为我笨，不会数数，而陶比会，所以都由她做。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.20586} 这要看你有多勇敢。有时候我也很害怕——时间太少，或者太多的时候。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.6369} 我很勇敢！我不怕老鼠，也不怕爬上科佩金家的屋顶，妈妈骂我的时候，我一点都不怕。嗯，大多数时候。但我不生病，所以妈妈骂我没骂陶比那么多。
{Dialogs2.Hospital.Day8.Hospital_Mirosya.Hospital_Mirnaya.27190} 时间是个怪东西。也许它根本不存在。
