{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.60381} 走吧。我知道你为什么来。你什么也办不到。走。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.55509} 看命运怎么转了个弯。曾经你把我从牢房里放出去——现在轮到我来放你出去了。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.8904} 只是我不会走。我一听说车站发生屠杀，就自己走进来投案了。流下的血必须有人负责——这份责任是我的。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.38125} 什么责任？你本该还在玩玩偶。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.58083} 不。我看见了尸体。他们的血在奥尔金斯基家身上。而现在，奥尔金斯基家就是我。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.34344} 告诉我：军队怎么会拿到腐肉？
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.25937} 我去过车站。我知道发生了什么——我完全确定，那不是你的错。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.34887} 军队刚到的时候，他们向父亲索要补给。那时还是父亲掌事——那是他把继承权交给我之前，最后一件大事。父亲明白告诉他们：没有鲜肉。镇子已经耗尽了；几乎所有牲畜都在最初几天被宰杀、吃掉了。士兵们不肯听——所以他下令，如果他们还要，就把剩下的东西全发给他们。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.58137} 我会告诉布洛克，你没有责任。他会下令放你出去。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.12212} 我会告诉审判官，你没有参与供应那些腐肉。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.17871} 所以是你父亲下令让士兵吃腐肉？那坐在这里的就该是他，不是你。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.6200} 不。我不准。我的确必须留下。那些被杀的人，谁来以忏悔作答？那是我们的人——公牛项目的人。奥尔金斯基家是一棵树，有许多枝；我们的不朽就在其中。别试图放我出去。父亲会死在这里，而我会活下去。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.35057} 不如去问问你父亲：他能不能忍受女儿替他坐牢。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.53614} 父亲只是看起来高大强壮。我比别人清楚：他很脆，早把健康耗空了——身上几乎没剩多少力气。这座监狱会压垮他——压不垮我。我能承受——我不准你质疑这一点。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.1269} 我怀疑的是另一件事——难道真的没有东西可以给士兵吃吗？车站的流血，难道就没有什么办法能避免……
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.32778} 在他们把我锁进牢房之前，我已经查清了一切。士兵本该靠军粮维持。可他们抵达的第一晚，军粮就被偷了。半点不剩。昨天，我们送去了最后的好肉；今天，他们拿到的是腐肉。于是血流出来了。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.21882} 你帮了我很大的忙。军粮——这就是关键。如果军粮没有被偷，这一切都不会发生。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.51178} 谁有这么大的胆子，敢去抢一支怒火正盛的军队？我心里有一个人——可他不该蠢到这种地步。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.5942} 撑住，奥尔金斯基家的女继承人。我不赞同你的选择，但我不能不尊重它。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.62681} 所以这就是实情？你不在乎公正，只是想受苦？
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.10571} 大弗拉德不配让你作出这样的牺牲。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.20909} 我在车站找到了你的谜题。你去过那里——你想亲眼看见一切？
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.10625} 我现在是家族的首领。我必须亲眼看见一切——并用我的头颅、我的良心、我的自由来作答。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.6783} 那场屠杀唯一有罪的，是那些开枪的士兵。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.34165} 不。不是这样。发生的一切，只有我该负责。我现在是家族的首领，我必须亲眼看见一切——并用我的头颅、我的良心、我的自由来作答。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.10869} 你才当了两天家族首领。下令发腐肉的人不可能是你。
{Dialogs2.Days.Day11.Day11_Q4_ShotFromPotyomkin.Day11_Q4_Kapella_InPrison.11728} 那你父亲呢——他怎么说？
