{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.6137} 等等，恩-丹尼尔。  你和这屋里的骗子说过话。告诉我，你也是他们阴谋的一部分吗？还是他们把你牵着鼻子走？
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.3015} 撒谎的人？我刚和你的家人谈过。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.52269} 正是如此。请注意，我并不是说他们是恶棍。我的父亲、叔父、兄长……他们都是体面人，可是……
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.9138} 可是？
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.32916} 可是，富于创造的头脑能在沙土根基上建起壮丽的智识宫殿。这是发明家和怪人的常见罪过。我的亲族无疑都很聪明，但他们缺少洞见的火花，于是得出错误的结论。因此，他们在撒谎。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.29506} 那叫弄错了。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.42671} 他们在撒谎。他们被体面、仪式和哀恸束缚住了。不要反驳我，听着就是。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.43798} 好吧，好吧……那么，他们到底在撒什么谎？
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.44031} 一句话：他们说西蒙叔叔死了。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.37122} ……请你再说一遍？
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.47417} 西蒙还活着。我想知道的是，你是在帮他们隐瞒，还是像其他人一样受了蒙骗？
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.60515} 你为什么这么说？
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.18180} 你刚从他的焦点里出来。你一定感觉到了吧？那个斜向的、反转的空间。我去得不多，但足够明白。我的家人声称西蒙就是在那里死去的。可在那样的地方，死亡真的可能发生吗？
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.4721} 哦，玛丽亚。若这是一场辩论，评审会给你的论证打极低的分。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.46436} 注意你的措辞！不过，一个缺乏真正洞见的人，我又能指望什么呢？那我给你一个更实在的论据：我父亲说西蒙叔叔在你到来的前一夜死了，可我昨天早晨看见你和他在一起！
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.1520} 什么？！
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.5319} 别装了，恩-丹尼尔。我知道你的秘密。昨天早晨，我看见你在多面体下方和西蒙说话。我不会问你们谈了什么。我无权窥探叔叔的秘密，也不会拷问你，逼你违背誓言。可关于他死亡的谎言正在播撒混乱，用漆黑的绝望扼住镇民。请不要再传播它了。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.8972} 如果我见过西蒙，我一定会记得。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.45375} 这正是我要说的。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.52955} 我确信那从未发生过。我从没见过西蒙·凯恩。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.5496} 是的……你的眼睛告诉我，你相信自己所说的话。你不是阴谋的一部分——那个谎言也把你缠住了。从里面挣脱出来。人们需要西蒙……我需要他。而我相信，你也需要他。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.51049} 如果西蒙还活着，那一切都变了！
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.60153} 正是如此。所以你不能相信那些谎言。不要失去信念，这才是关键。我不知道西蒙在哪里。有时我走在街上，会感觉到他的目光落在我身上，可转过头去，那里却没有人。有时，我又确信某个陌生人的脚步声属于他。还有些时候，我会想象他是个变形者——他能成为任何人。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.33311} 即使西蒙的死并不像你家人所说，他也已经死了……或者会在接下来几天内死去。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.62318} 所以你现在成了先知？多有意思。甚至有些可笑。没有哪一种死亡是预先注定、不可避免的。你尤其应该明白这一点。
{Dialogs2.Days.Day2.Day2_Q10_SimonsStudyCigarette.Day2_Q10_Maria_Lie.18301} 不知为什么，我觉得他的死是注定的。
