{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.32449} 你觉得这一切会怎样结束，学者？
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.55405} 好一个问题。我还以为我的命运已经牢牢握在你手里。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.41431} 你以为自己是这些事件的主角。但你甚至不在报告第二页上。历史几乎不会提到你。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.56787} 这在客观上是胡说。我管理医院，领导紧急指挥部，身处本地权力、审判庭和军队冲突的中心。没有我，这座镇根本撑不到结局。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.39320} 你真的一点也不羞愧？
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.31371} 我真心好奇，你为什么死死咬住我不放。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.17465} 我真心好奇，你为什么死死咬住我不放。好像你个人非得毁掉学者丹科夫斯基。为什么我让你如此执着？你是我的对手？嫉妒我？
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.17075} 你以为别人不满你，只可能出于嫉妒？我真诚地鄙视任何敢自称医生，却愿意为了幻想无视性命的人。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.23074} 你对真相毫无兴趣。你编造指控——然后压迫我，希望我崩溃，像木偶一样点头。如果我落在你手里，你早就把案子和塔纳提卡实验室一起关掉了……这就是正义？
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.57820} 正义将由我们指定为什么，就是什么。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.62949} 你指定不了任何东西。就算我不是王后。就算我是主教。但你——不过是个卒子。如果我没能离开这个房间，如果你摧毁了塔纳提卡实验室——那依旧算吃掉一个棋子。可如果你没能离开这个房间，他们只会换另一个和你一样的人……另一个圆脑袋的。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.19966} 尽管无礼吧。这说明你害怕。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.42747} 经历过这一切之后，我还会怕一只办公室老鼠？你认真的？承认吧，督察：整个局面早就脱离你的掌控了。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.55192} 这正说明不该允许其他梯队的代表进入审讯室！被告会发疯。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.26519} 承认吧，督察：整个局面早就脱离你的掌控了。
{Dialogs2.Days.Day12.Day12_Q0_Interrogation.Day12_Q0_Interrogation.56671} 想听我说你是对的？别指望。我仍然握着审讯室的钥匙。
