{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.26220} 检查完了吗，大夫？我能走了吗？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.50603} 想都别想。除非是停尸房，否则哪有不问诊的检查。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.36667} 我上回能说都跟您说了……不过您是医生，您说了算。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.64928} 容我叫助手进来。正好用你当范例，教他如何问诊。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.57998} 您叫我吗，丹科夫斯基先生？我随时待命。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.28616} 利特尔先生，这位患者自称很健康……尽管几天前还发着烧。我们该信她的话吗？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.8434} 利特尔先生，这位患者自称很健康……尽管几天前还发着烧。我们该信她的话吗？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.4707} 当然信了！不信任别人是活不下去的！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.44199} 记住，患者的自我评估未必可靠。所以必须详细询问——症状细节、检查发现、生活状况，缺一不可。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.44162} 明白了……理论是听懂了，天知道实操起来会怎样……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.6196} 我来示范。仔细观察，好好学习，利特尔先生，我不可能时时刻刻在旁边指导你。\n\n患者正在发热；换言之，体温升高。翻开我的诊疗记录，查查“发热”条目，告诉我有多少种病症下面都有发热这一症状？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.3936} 我看看……呃，八种！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.25008} 符合八种疾病的诊断。发热是常见症状，这意味着你必须找出其他症状来缩小范围，然后不断重复这个过程，重复到<b>只剩一种</b>疾病为止。\n\n利特尔先生，这就是所谓的鉴别诊断。顾名思义，我们通过区分相似症状来找到问题的唯一正解。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.27791} 太可怕了！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.9538} 那我们开始吧。女士，您面色苍白。这是天生的，还是最近才出现的？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.41761} 住在锅炉房哪有空照镜子。但我觉得自己从没<b>苍白</b>过……那些养尊处优的懒汉才苍白。我可是劳动人民。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.10576} 这么说来，您平时皮肤没这么白……那就当是症状给记下来。利特尔先生，把皮肤苍白与发热这两个症状放一块儿，能得出什么结论？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.50751} 只剩下两种可能了。从八种降到两种。简直像变魔术！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.1356} 仅仅苍白这一项症状，就排除了八种可能中的<b>六</b>种。现在只剩两个选项了……\n\n女士，这块淤青是怎么来的？我是指手腕旁边这片。是撞到什么了吗？……还是有人打你？别担心，在医生面前没什么好难为情的。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.28534} 我没什么好难为情的。淤青？这可新鲜了！我从没见过这个。也不记得你描述的情况……肯定没人打过我。\n\n准是自己磕碰后忘了，最近太忙乱。锅炉房又黑又窄……八成是在那儿碰的。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.62882} 丹科夫斯基先生，您清单上这个“淤血”——花哨的淤青，我看见了！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.47975} 利特尔先生，跟上节奏了吗？注意了，重点在这儿：她不记得淤青<b>怎么来的</b>，只能猜测。\n\n这种情况下，手册对病症有更详细说明：病因、易感人群等等，能提供有用线索。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.47959} 这个我懂。“易感人群”就是高危人群，对吧？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.59980} 给人看病怎么可能跟小学生上课一样，对照一下症状就能确诊？必须运用你的推理能力。\n\n比如这样：女士，您种花种草吗？都种了什么？不管是玫瑰还是黄瓜，但说无妨。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.40950} 黄瓜？<b>玫瑰</b>？大夫您可把我搞糊涂了。啥也没种，我向来不爱摆弄泥土铲子那些活儿。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.61077} 泥土……等等。你们被安置的那个锅炉房，该不会正好是泥地吧？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.22683} 没错，确实是泥地。锅炉房不适合住人，但这年头抱怨这个就是没良心了……您怎么能猜到是泥地，大夫？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.32424} 这个细节有什么要紧的？是什么地影响判断吗？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.15104} 很简单。当地土壤可能含有各种微生物——包括能破坏血液循环的品种。皮肤苍白有可能就是这么来的。\n\n淤青并非外伤所致。血管壁受损时就会出现淤血，可能由外力造成，也可能像<b>这个</b>病例一样源于疾病。而接触泥土可能感染这种病。诊断结果就这么出来了。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.59218} 天才啊，丹科夫斯基先生！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.38854} 天才啊，丹科夫斯基先生！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.27516} 别忙着崇拜。你再过个几天，也能摸清楚点儿门道。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.40704} 不过还是得夸一句：不愧是医学大师！那患者除了沙疫还伴有……什么病呢？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.47688} 我已全程讲解，诊断你自己就能下。喏，症状是发热、皮肤苍白和淤青。综合起来就能得出结论。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.52563} 那我呢大夫？该去哪儿？接下来怎么办？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.38835} 谢谢你。没有你，上哪儿找这么好的机会，教人怎么做身体检查；没有真实的患者，怎么教人看病！
