{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.30484} 你。你是这儿的负责人吗？能请你替我把这份文件签了吗？我是说，死亡证明。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.5511} 你一定是认错人了。我在这地方能算很多种身份，但肯定不是负责人。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.21436} 我兄弟死了。他是个坏人，恶人。可再怎么样，也是家里人……\n\n现在我就在这儿瞎忙，四处收这些文件。第五天了，我还办不下一张死亡证明。真是荒唐，人都没了，可文件却得有，哦哦，<i>请</i>务必要把文件办齐。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.16460} 你明白外面在发生什么吗？市政厅都封起来了，瘟疫肆虐，你还在操心这些文件。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.30184} 是，我知道，我知道！可不然我还能怎么办？我本来是来替基里克求情的……现在看来，怕是要轮到我老婆来收我的尸体了。再去求医生给她也开一张一样的纸。\n\n我们都会一个接一个倒在这里，像多米诺骨牌一样。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.24459} 你为什么需要那张死亡证明？
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.25811} 他有个孩子，还有间屋子，我们得有那张证明，才能不让他们把他的孩子从那间屋里赶到外头挨冻。繁文缛节最吓人的嘴脸。你明白的。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.26404} 你兄弟是怎么死的？
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.65049} 他那人一直像个疯子。五天前，他在车站想拿刀捅小布拉克……他以为布拉克杀了他父亲，可那全是胡扯。现在布拉克的名字已经洗清了。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.47578} 请节哀。瘟疫谁也不放过。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.52215} 要真是瘟疫倒好了！说起来算是自作自受。五天前，他在车站想拿刀捅小布拉克……他以为布拉克杀了他父亲，可那全是胡扯。现在布拉克的名字已经洗清了。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.41212} 那是我刚到镇上的第一天……对，我现在想起来了。当时有个草药新娘想把你兄弟的尸体带走。我没让。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.48721} 我见过你兄弟的尸体。刀口很精准，几乎像外科手术般利落。他没受什么罪。
