{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.5131} 尊敬的学者，能否赏我您的签名？劳驾，就在这条线上。
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.19940} 为什么？
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.30361} 只是一个手续。证明你是出于自己的自由意志和我交谈——敢说的话，出于你自己的愿望。证明你是自愿向我讲述你那悲伤故事的。
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.13333} 我至少能先读一遍吗？
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.27138} 如果每个人签字前都要先读文件，那签名还有什么用？它只是声明你是出于自己的自由意志和我交谈——敢说的话，出于你自己的愿望。证明你是自愿向我讲述你那悲伤故事的。
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.20611} 你一定是在开玩笑。什么自由意志？看在上天份上，他们差点用锁链把我拖到这里来。
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.16880} 但你不是想告诉我第二天的事吗？提醒一下：我没有问。是你坚持认为瘟疫爆发前的事件对理解它至关重要。
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.13827} 它们当然重要！可你说得好像我想要这整场审问一样。
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.6263} 你不想吗？你不在乎学士丹科夫斯基对无名的戈尔孔镇造成了怎样的影响？
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.37620} 我在乎。
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.9475} 你在嘲弄我。享受你手里那点权力。无所谓。我不会忘记这一切。
{Dialogs2.Days.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.9143} 好吧。把文件给我。
