{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.10383} 你？真是意外的来访。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.11864} 你知道我是谁吗？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.8560} 我怎么会不知道。丹尼尔·丹科夫斯基，首都来的医生，负责对抗疫病。不得不说，您决定来活人之家，让我很意外。有什么我能为您做的吗？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.2953} 告诉我，拉拉，你有武器吗？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.23106} 你可真会让人不知所措，丹科夫斯基。怎么？你是在担心我的安全？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.26744} 是。我知道你身上有一把“初登台”。给我。这样对我们所有人都好。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.1447} 你忘了我是军人的女儿。我知道怎么用枪。我小时候就在后院打瓶子玩。我留着那把手枪，只是为了自卫。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.23302} 城里有一道新法令。我们正在向居民征收所有火器。我亲自来找你执行征收。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.22694} 真是荒唐透顶。小镇已经到了毁灭边缘，你却要夺走人们最后一点自保手段。清醒点，丹科夫斯基，这样只会引发暴乱。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.6107} 实际上，正好相反。征收火器会帮我们解决一大堆问题。绝望的人很危险。拿着武器的绝望之人，危险更是加倍。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.1361} 你拿不到我的手枪。那是父亲送我的礼物，是我最后一点关于他的记忆。你要我怎么把它交出去？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.10099} 我知道你父亲的事，也很遗憾你失去了他，但我也知道，复仇从来不能带来安宁。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.26904} 我听不懂。你在说什么？什么复仇？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.3985} 来一场小小的射击比赛怎么样？我们摆好瓶子，要是我打中的更多，你就把手枪给我。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.10727} 我也给你一个提议，丹科夫斯基。你不要再这么遮遮掩掩、古古怪怪了，怎么样？直接告诉我你为什么来。很显然，我的手枪只是个借口。你需要什么？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.25219} 我要保护这座城和这里的人。不幸的是，这也包括保护他们免受你的伤害。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.22846} 我的手枪怎么能帮你保护这座城，让它免受我的伤害呢？我倒想知道。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.27617} 今天，军队进城了，由布洛克将军率领。也许你认识他？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.17693} 我更担心别人的安全。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.20409} 我知道你在盘算什么。我来是为了说一句：别做。杀死布洛克，对任何人都没有好处。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.18009} 你怎么……你在说什么？你说的是什么谋杀？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.17399} 明天早晨，你会把一颗子弹装进那把双发“初登台”里，去市政厅，当场射杀布洛克将军。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.11887} 荒谬。我为什么要那么做？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.18102} 为你父亲复仇。布洛克要为拉维尔上尉的死负责。你会因此杀了他。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.25082} 你怎么……看来我真要疯了，到底怎么回事？你怎么会有这种念头？
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.24423} 是你自己告诉我的。
{Dialogs2.Days.Day9.Day9_Q5_PersuadingLara.Day9_Q5_Lara_SpareBlock.11936} 我从来没和你说过话，怎么可能告诉你什么？你在发烧吗？还是我发着烧，在说胡话？这到底是怎么回事？
