{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.13638} 我看得出昨天的事故为什么会发生。空间布置远未达到最优。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.60106} 别这么粗鲁，雅采克。我们正是为此而来——协助医生。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.31802} 协助什么？我不记得自己请求过协助。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.63900} 我们昨晚互相谈了谈，得出结论：让公牛吃掉法令是不行的。这是个好笑的轶事，可你仔细一想……没有紧急指挥部，小镇就完了。更糟的是，你还失去了秘书。这时候就轮到我们了。我先提醒你，我们并不是赫伦那种秘书材料，也不会给你煮咖啡。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.47171} 你以为赫伦会煮咖啡？想得美！别担心，在这方面我不会有任何变化。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.26590} 谢天谢地。我的热忱还没到那个地步。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.62693} 我们想帮忙。昨天我们看见你被折腾得多么狼狈。今天我们来恢复秩序。顺便加快你的流程。恕我直言，医生，你的齿轮转得太慢。一天三道法令实在不够。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.46375} 你们打算向紧急指挥部提供什么样的帮助？
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.42942} 我们可以——也应当——加快文件的印制和递送。雅采克可以处理你的收支。他对数字那么精明，你一天就不只能发布三道，而能发布四道法令。我会把这一点写成一份极为详尽的文书。你只需要审阅，然后作出决定。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.60138} 每次签署法令都要走去指挥部，实在太浪费时间了！你手下有个送水工。他能运的不只是样本——法令板正好也能放进他的车里。这样会快些。跑腿的孩子已经在替你安排了。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.62471} 嗯。我同意，这会让事情容易些。谢谢。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.14861} 你批准我们的主意？我们现在可以开始吗？
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.55456} 可以。还有……能否劳烦你们清点一下过去几天的资产？我想知道那时候自己是否本来也能一天发布四道法令。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.29688} 清点资产没什么难的，可小镇今天才需要拯救，不是昨天，这信息真的有用吗？
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.26122} 我猜他是想复核之前的计算。就是被公牛吃掉的那些。万一以后审计员要求查看过去几天的文书，检查紧急指挥部是否满负荷运转呢？
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.52262} 正是如此。如果我们设法救下小镇，将来会有大量审计。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.58390} 如你所愿，医生。你在帮助小镇，而我们试着让这份帮助更有效率。你想翻旧账——我就为你做计算。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.40301} 我会把它们写下来，钉到板上，让我们都看见。我不会让那头公牛靠近它！说起来，它在哪儿？
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.10103} 就在这里。你怎么会看不见公牛？
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.31054} 这个……该怎么说呢……它今天被偷走了。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.1925} 那头公牛？刚才还在这里。你得盯紧那家伙。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.57612} 你大概已经觉得，紧急指挥部每天都是一片纯粹混乱。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.53666} 别担心。你们可以开始。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.12829} 请把计算准备好。我会想办法使用它们。就当我想从自己的错误中学习吧。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.19805} 我可以解释为什么需要这些……但我怀疑你们不会相信。
{Dialogs2.Days.Day9.Day9_Q20_RationalizersHiring.Day9_Q20_Rationalizers_Help.13417} 那个跑腿男孩？我打赌就是同一个小子，拿我的指令胡乱篡改取乐。愿神保佑我们所有人。
